"Statistics","Year","Total","Agriculture, forestry and fishing","Mining and quarrying","Manufacturing","Electricity, gas, steam and air conditioning supply","Water supply, sewerage, waste management and remediation activities","Construction","Wholesale and retail trade; repair of motor vehicles and motor cycles","Transport and storage","Accommodation and food service activities","Information and communication","Real estate activities","Professional, scientific and technical activities","Administrative and support service activities","Other Services"
"Turnover",2008,59190,99,337,15752,1868,382,7458,20973,2416,1528,1348,693,2187,1765,2383
"Turnover",2009,58809,87,301,15585,1688,436,6343,21383,2843,1449,1397,837,1877,1614,2968
"Turnover",2010,58379,111,377,15306,1119,460,5743,22727,2486,1156,1364,854,1739,1778,3161
"Turnover",2011,61530,100,355,16582,2024,459,5447,23875,2967,1255,1432,892,1743,1773,2625
"Turnover",2012,62067,112,380,16833,2073,829,5154,24168,2739,1315,1503,893,1699,1726,2643
"Turnover",2013,64514,130,363,17821,2237,826,5084,25247,2802,1372,1852,784,1783,1670,2542
"Turnover",2014,66242,120,395,18067,2054,850,5495,25681,3021,1554,1740,823,2165,1706,2571
"Turnover",2015,67085,105,407,18247,1917,822,6010,25055,3194,1614,2044,843,2246,1945,2636
"Turnover",2016,67730,109,387,18037,1906,883,6659,24665,3190,1750,1970,857,2564,1983,2769
"Turnover",2017,66141,146,370,15795,2011,925,7323,24506,3095,1731,1941,769,2446,2286,2798
"Turnover",2018,68773,174,431,15541,2402,911,7667,25439,3179,1881,2142,1068,2512,2792,2636
"Turnover",2019,71332,173,481,15555,2814,977,7299,27457,3465,1956,1815,1192,2707,2865,2576
"Turnover",2020,67838,152,471,14782,2365,836,7467,26176,3126,1540,2128,1181,2862,2535,2215
"Turnover",2021,77067,168,542,16447,2044,1063,9631,29582,3997,1743,2425,1162,3362,2461,2439
"Purchases",2008,39456,57,236,8407,1509,373,5221,17117,1392,797,596,303,880,951,1616
"Purchases",2009,37895,59,195,7855,1396,393,4107,17093,1807,790,630,423,615,741,1790
"Purchases",2010,37458,45,285,7686,709,357,3545,18424,1417,594,526,360,711,850,1949
"Purchases",2011,40325,54,233,8841,1685,353,3578,18914,1680,645,632,419,741,839,1712
"Purchases",2012,40116,59,266,8865,1707,411,3359,19032,1665,664,627,374,700,719,1670
"Purchases",2013,42379,69,249,9533,1810,403,3528,20273,1626,742,832,283,702,638,1690
"Purchases",2014,43750,70,280,9919,1729,374,3640,20687,1684,844,844,340,897,662,1780
"Purchases",2015,43448,57,261,9553,1609,375,4114,20250,1861,824,988,347,876,812,1520
"Purchases",2016,42919,53,234,9169,1523,407,4478,19750,1677,866,942,333,1050,831,1607
"Purchases",2017,43903,69,244,10089,1642,432,4874,19517,1656,883,861,294,892,863,1588
"Purchases",2018,46111,100,269,10985,1879,457,5013,20035,1678,930,855,452,844,1109,1505
"Purchases",2019,46639,98,303,10902,2207,460,4291,21248,1916,950,599,453,933,960,1321
"Purchases",2020,44063,86,276,10036,1529,357,4937,20219,2142,745,582,345,1003,785,1021
"Purchases",2021,48696,97,365,10896,1155,502,5810,23074,2304,851,620,293,940,762,1025
"aGVA",2008,17743,44,100,4355,361,337,2480,3932,1070,738,773,391,1317,841,1003
"aGVA",2009,17989,29,106,4167,286,315,2093,4428,1105,660,789,413,1294,925,1381
"aGVA",2010,18158,65,88,4322,412,142,2065,4439,1190,569,821,507,1086,1006,1447
"aGVA",2011,17901,47,118,4001,328,154,1731,5073,1392,611,830,484,1079,959,1095
"aGVA",2012,18683,54,109,4094,390,740,1679,5128,1226,651,912,520,1032,1008,1140
"aGVA",2013,19291,61,110,4719,447,724,1554,4973,1267,631,1063,507,1139,1079,1017
"aGVA",2014,19736,59,113,4410,313,784,1847,5133,1473,761,938,491,1355,1092,967
"aGVA",2015,20432,48,142,4852,306,741,1897,4865,1465,810,1098,506,1416,1145,1142
"aGVA",2016,21826,59,151,5230,387,779,2322,4939,1569,882,1053,534,1556,1165,1201
"aGVA",2017,22025,80,124,4770,403,796,2410,5095,1604,846,1131,481,1630,1419,1236
"aGVA",2018,23882,75,154,4749,559,774,2732,5657,1605,954,1350,615,1748,1682,1226
"aGVA",2019,25330,77,173,4625,656,843,3060,6258,1653,1006,1205,763,1845,1905,1261
"aGVA",2020,25661,70,192,4909,1125,814,2614,6014,1472,919,1521,887,1999,1814,1308
"aGVA",2021,30647,72,172,5801,1254,908,3857,6882,2053,1015,1822,925,2544,1737,1605
