"Statistic","Year","Northern Ireland"
"Albacore",2016,0.053
"Albacore",2017,NA
"Albacore",2018,NA
"Albacore",2019,NA
"Albacore",2020,NA
"Albacore",2021,NA
"Albacore",2022,NA
"Albacore",2023,NA
"Anchovy",2016,NA
"Anchovy",2017,NA
"Anchovy",2018,NA
"Anchovy",2019,NA
"Anchovy",2020,NA
"Anchovy",2021,NA
"Anchovy",2022,NA
"Anchovy",2023,114.9
"Angel Shark",2016,NA
"Angel Shark",2017,NA
"Angel Shark",2018,0.024
"Angel Shark",2019,NA
"Angel Shark",2020,NA
"Angel Shark",2021,NA
"Angel Shark",2022,NA
"Angel Shark",2023,NA
"Argentine Hake (Sw Atlantic)",2016,NA
"Argentine Hake (Sw Atlantic)",2017,NA
"Argentine Hake (Sw Atlantic)",2018,NA
"Argentine Hake (Sw Atlantic)",2019,NA
"Argentine Hake (Sw Atlantic)",2020,NA
"Argentine Hake (Sw Atlantic)",2021,NA
"Argentine Hake (Sw Atlantic)",2022,0.01
"Argentine Hake (Sw Atlantic)",2023,NA
"Bass",2016,0.017
"Bass",2017,0.002
"Bass",2018,NA
"Bass",2019,NA
"Bass",2020,NA
"Bass",2021,0.044
"Bass",2022,NA
"Bass",2023,0.01
"Blonde Ray",2016,5.57
"Blonde Ray",2017,11.014
"Blonde Ray",2018,12.29
"Blonde Ray",2019,17.366
"Blonde Ray",2020,6.721
"Blonde Ray",2021,8.638
"Blonde Ray",2022,1.114
"Blonde Ray",2023,0.59
"Blue Fin Tuna",2016,2.213
"Blue Fin Tuna",2017,NA
"Blue Fin Tuna",2018,NA
"Blue Fin Tuna",2019,NA
"Blue Fin Tuna",2020,NA
"Blue Fin Tuna",2021,0.425
"Blue Fin Tuna",2022,NA
"Blue Fin Tuna",2023,NA
"Blue Whiting",2016,NA
"Blue Whiting",2017,NA
"Blue Whiting",2018,160.96
"Blue Whiting",2019,238.28
"Blue Whiting",2020,NA
"Blue Whiting",2021,1156.95
"Blue Whiting",2022,295.659
"Blue Whiting",2023,608.63
"Boarfish (Capros Aper)",2016,NA
"Boarfish (Capros Aper)",2017,5.52
"Boarfish (Capros Aper)",2018,7.63
"Boarfish (Capros Aper)",2019,NA
"Boarfish (Capros Aper)",2020,NA
"Boarfish (Capros Aper)",2021,NA
"Boarfish (Capros Aper)",2022,NA
"Boarfish (Capros Aper)",2023,NA
"Brill",2016,19.454
"Brill",2017,33.434
"Brill",2018,22.432
"Brill",2019,18.682
"Brill",2020,15.777
"Brill",2021,17.633
"Brill",2022,13.863
"Brill",2023,12.95
"Brown Shrimps",2016,0.431
"Brown Shrimps",2017,0.591
"Brown Shrimps",2018,0.951
"Brown Shrimps",2019,1.164
"Brown Shrimps",2020,0.817
"Brown Shrimps",2021,0.924
"Brown Shrimps",2022,2.533
"Brown Shrimps",2023,2.87
"Catfish",2016,NA
"Catfish",2017,NA
"Catfish",2018,NA
"Catfish",2019,NA
"Catfish",2020,NA
"Catfish",2021,NA
"Catfish",2022,NA
"Catfish",2023,0.001
"Cod",2016,42.475
"Cod",2017,41.746
"Cod",2018,114.282
"Cod",2019,201.355
"Cod",2020,104.583
"Cod",2021,93.616
"Cod",2022,70.987
"Cod",2023,36.35
"Common dolphinfish",2016,NA
"Common dolphinfish",2017,NA
"Common dolphinfish",2018,NA
"Common dolphinfish",2019,NA
"Common dolphinfish",2020,NA
"Common dolphinfish",2021,NA
"Common dolphinfish",2022,NA
"Common dolphinfish",2023,0.01
"Common Prawns",2016,NA
"Common Prawns",2017,NA
"Common Prawns",2018,NA
"Common Prawns",2019,NA
"Common Prawns",2020,NA
"Common Prawns",2021,NA
"Common Prawns",2022,NA
"Common Prawns",2023,0.1
"Common Skate(Blue/Grey)",2016,NA
"Common Skate(Blue/Grey)",2017,NA
"Common Skate(Blue/Grey)",2018,0.606
"Common Skate(Blue/Grey)",2019,NA
"Common Skate(Blue/Grey)",2020,NA
"Common Skate(Blue/Grey)",2021,NA
"Common Skate(Blue/Grey)",2022,NA
"Common Skate(Blue/Grey)",2023,NA
"Conger Eels",2016,10.36
"Conger Eels",2017,30.286
"Conger Eels",2018,29.725
"Conger Eels",2019,20.958
"Conger Eels",2020,13.83
"Conger Eels",2021,5.423
