"Statistic","Year","All adults","Sex - Adult male","Sex - Adult female","Religion - Adult Catholic","Religion - Adult Protestant","Religion - Adult No religion","All young people","Sex - Young male","Sex - Young female","Religion - Young Catholic","Religion - Young Protestant","Religion - Young no religion"
"Percentage of people who feel a sense of belonging to their neighbourhood",2013,85,84,87,88,88,73,74,73,74,81,78,59
"Percentage of people who feel a sense of belonging to their neighbourhood",2014,87,87,87,87,92,78,76,73,78,83,79,64
"Percentage of people who feel a sense of belonging to their neighbourhood",2015,87,87,87,90,92,74,78,76,80,84,86,64
"Percentage of people who feel a sense of belonging to their neighbourhood",2016,88,87,89,88,92,81,75,74,76,84,80,58
"Percentage of people who feel a sense of belonging to their neighbourhood",2017,89,87,91,91,93,78,73,73,74,82,77,58
"Percentage of people who feel a sense of belonging to their neighbourhood",2018,87,87,87,85,92,81,73,72,75,81,82,57
"Percentage of people who feel a sense of belonging to their neighbourhood",2019,89,88,90,91,96,77,72,71,72,81,78,56
"Percentage of people who feel a sense of belonging to their neighbourhood",2020,83,82,83,84,88,74,NA,NA,NA,NA,NA,NA
"Percentage of people who feel a sense of belonging to their neighbourhood",2021,81,81,81,83,89,69,69,71,70,79,78,55
"Percentage of people who feel a sense of belonging to their neighbourhood",2022,84,81,86,87,90,74,67,68,68,77,73,56
