"Statistic","Year","Local Government District","Gender and working pattern","Construction","Manufacturing","Services","Other","All"
"Employee Jobs",2015,"Antrim and Newtownabbey","Female full-time",257,1169,11313,136,12875
"Employee Jobs",2015,"Antrim and Newtownabbey","Female part-time",117,204,14524,46,14891
"Employee Jobs",2015,"Antrim and Newtownabbey","Male full-time",2137,5900,14569,695,23301
"Employee Jobs",2015,"Antrim and Newtownabbey","Male part-time",76,97,4680,17,4870
"Employee Jobs",2015,"Antrim and Newtownabbey","All",2587,7370,45086,894,55937
"Employee Jobs",2015,"Armagh City, Banbridge and Craigavon","Female full-time",256,2333,15707,103,18399
"Employee Jobs",2015,"Armagh City, Banbridge and Craigavon","Female part-time",187,723,16820,57,17787
"Employee Jobs",2015,"Armagh City, Banbridge and Craigavon","Male full-time",2739,8382,16035,931,28087
"Employee Jobs",2015,"Armagh City, Banbridge and Craigavon","Male part-time",174,319,5289,46,5828
"Employee Jobs",2015,"Armagh City, Banbridge and Craigavon","All",3356,11757,53851,1137,70101
"Employee Jobs",2015,"Belfast","Female full-time",478,1384,62118,440,64420
"Employee Jobs",2015,"Belfast","Female part-time",208,384,47399,89,48080
"Employee Jobs",2015,"Belfast","Male full-time",3664,7676,76149,1571,89060
"Employee Jobs",2015,"Belfast","Male part-time",131,199,18267,33,18630
"Employee Jobs",2015,"Belfast","All",4481,9643,203933,2133,220190
"Employee Jobs",2015,"Causeway Coast and Glens","Female full-time",149,556,9001,38,9744
"Employee Jobs",2015,"Causeway Coast and Glens","Female part-time",111,199,11739,14,12063
"Employee Jobs",2015,"Causeway Coast and Glens","Male full-time",1682,2777,8624,387,13470
"Employee Jobs",2015,"Causeway Coast and Glens","Male part-time",132,122,3990,31,4275
"Employee Jobs",2015,"Causeway Coast and Glens","All",2074,3654,33354,470,39552
"Employee Jobs",2015,"Derry City and Strabane","Female full-time",152,792,14387,58,15389
"Employee Jobs",2015,"Derry City and Strabane","Female part-time",107,204,13771,29,14111
"Employee Jobs",2015,"Derry City and Strabane","Male full-time",1787,3955,12648,524,18914
"Employee Jobs",2015,"Derry City and Strabane","Male part-time",189,141,4852,34,5216
"Employee Jobs",2015,"Derry City and Strabane","All",2235,5092,45658,645,53630
"Employee Jobs",2015,"Fermanagh and Omagh","Female full-time",169,747,9631,65,10612
"Employee Jobs",2015,"Fermanagh and Omagh","Female part-time",144,193,10103,23,10463
"Employee Jobs",2015,"Fermanagh and Omagh","Male full-time",2170,3701,7570,656,14097
"Employee Jobs",2015,"Fermanagh and Omagh","Male part-time",241,168,3781,64,4254
"Employee Jobs",2015,"Fermanagh and Omagh","All",2724,4809,31085,808,39426
"Employee Jobs",2015,"Lisburn and Castlereagh","Female full-time",320,731,13181,65,14297
"Employee Jobs",2015,"Lisburn and Castlereagh","Female part-time",139,263,13347,19,13768
"Employee Jobs",2015,"Lisburn and Castlereagh","Male full-time",2255,4070,14584,427,21336
"Employee Jobs",2015,"Lisburn and Castlereagh","Male part-time",99,77,4487,28,4691
"Employee Jobs",2015,"Lisburn and Castlereagh","All",2813,5141,45599,539,54092
"Employee Jobs",2015,"Mid and East Antrim","Female full-time",161,1524,8227,71,9983
"Employee Jobs",2015,"Mid and East Antrim","Female part-time",125,279,11126,35,11565
"Employee Jobs",2015,"Mid and East Antrim","Male full-time",1672,7229,8557,781,18239
"Employee Jobs",2015,"Mid and East Antrim","Male part-time",95,141,3434,41,3711
"Employee Jobs",2015,"Mid and East Antrim","All",2053,9173,31344,928,43498
"Employee Jobs",2015,"Mid Ulster","Female full-time",381,2307,8340,102,11130
"Employee Jobs",2015,"Mid Ulster","Female part-time",218,517,11161,36,11932
"Employee Jobs",2015,"Mid Ulster","Male full-time",3577,10706,8052,694,23029
"Employee Jobs",2015,"Mid Ulster","Male part-time",249,350,3416,50,4065
"Employee Jobs",2015,"Mid Ulster","All",4425,13880,30969,882,50156
"Employee Jobs",2015,"Newry, Mourne and Down","Female full-time",271,1571,11719,102,13663
"Employee Jobs",2015,"Newry, Mourne and Down","Female part-time",226,267,14104,35,14632
