"Statistic","Year","Antrim and Newtownabbey","Armagh City, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry City and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid and East Antrim","Mid Ulster","Newry, Mourne and Down","Ards and North Down","Northern Ireland"
"Number of business births",2016,350,615,1160,355,450,440,390,315,520,670,400,5665
"Number of business births",2017,360,725,1205,510,470,525,455,395,635,815,475,6570
"Number of business births",2018,305,595,1065,370,475,400,390,370,510,695,370,5545
"Number of business births",2019,325,630,1315,375,430,405,530,365,495,760,415,6045
"Number of business births",2020,450,585,1145,375,425,375,445,320,495,665,390,5670
"Number of business births",2021,385,790,1435,470,455,445,490,385,585,730,485,6655
"Number of business births",2022,305,665,1055,335,420,385,415,330,455,620,400,5385
"Business birth rate",2016,10.2,9.8,11.2,8.7,11.1,9.8,9.3,8.8,9,10.7,9.4,10
"Business birth rate",2017,10.2,11.1,11.3,11.8,11.3,11.2,10.4,10.6,10.5,12.2,10.7,11.1
"Business birth rate",2018,8.5,9,9.8,8.5,11,8.5,8.8,9.7,8.2,10.1,8.4,9.2
"Business birth rate",2019,8.9,9.3,11.7,8.4,9.8,8.4,11.4,9.4,7.8,10.7,9.2,9.8
"Business birth rate",2020,11.9,8.6,10.1,8.4,9.6,7.8,9.3,8.2,7.7,9.3,8.7,9.1
"Business birth rate",2021,9.9,11,12.1,10.1,10,8.9,9.9,9.6,8.8,9.9,10.4,10.3
"Business birth rate",2022,8.1,9,9.2,7.3,9.1,7.6,8.4,8.3,6.8,8.2,8.6,8.3
