"Statistic","Year","Antrim and Newtownabbey","Armagh City, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry City and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid and East Antrim","Mid Ulster","Newry, Mourne and Down","Ards and North Down","Northern Ireland"
"Number of business deaths",2016,225,425,840,255,325,305,285,220,335,410,295,3920
"Number of business deaths",2017,260,450,845,290,330,355,320,260,330,470,345,4255
"Number of business deaths",2018,260,425,805,280,325,275,280,270,365,500,320,4105
"Number of business deaths",2019,305,530,955,330,350,330,355,300,385,560,390,4790
"Number of business deaths",2020,285,435,825,295,315,275,305,265,355,470,350,4175
"Number of business deaths",2021,445,490,1115,325,350,305,475,340,380,545,430,5200
"Number of business deaths",2022,350,575,1030,375,365,360,405,360,425,595,450,5290
"Business death rate",2016,6.5,6.8,8.1,6.3,8,6.8,6.8,6.2,5.8,6.5,7,6.9
"Business death rate",2017,7.4,6.9,7.9,6.7,7.9,7.6,7.3,7,5.4,7.1,7.8,7.2
"Business death rate",2018,7.3,6.4,7.4,6.4,7.5,5.9,6.3,7.1,5.9,7.3,7.2,6.8
"Business death rate",2019,8.4,7.8,8.5,7.4,8,6.9,7.6,7.7,6.1,7.9,8.7,7.8
"Business death rate",2020,7.5,6.4,7.3,6.6,7.1,5.7,6.4,6.8,5.5,6.6,7.8,6.7
"Business death rate",2021,11.4,6.8,9.4,7,7.7,6.1,9.6,8.5,5.7,7.4,9.2,8
"Business death rate",2022,9.3,7.8,8.9,8.1,7.9,7.1,8.2,9.1,6.3,7.9,9.7,8.2
