"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2013,"Antrim and Newtownabbey","Agriculture, Forestry & Fishing","0",400,75,NA,NA,NA,480
"Number of Businesses",2013,"Antrim and Newtownabbey","Agriculture, Forestry & Fishing","1 to 9",15,135,20,NA,NA,175
"Number of Businesses",2013,"Antrim and Newtownabbey","Agriculture, Forestry & Fishing","10 to 49",NA,NA,5,NA,NA,10
"Number of Businesses",2013,"Antrim and Newtownabbey","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Agriculture, Forestry & Fishing","All",415,215,25,5,NA,660
"Number of Businesses",2013,"Antrim and Newtownabbey","Production","0",35,15,NA,NA,NA,50
"Number of Businesses",2013,"Antrim and Newtownabbey","Production","1 to 9",45,75,20,10,NA,150
"Number of Businesses",2013,"Antrim and Newtownabbey","Production","10 to 49",NA,NA,15,25,5,50
"Number of Businesses",2013,"Antrim and Newtownabbey","Production","50 to 249",NA,NA,NA,5,10,20
"Number of Businesses",2013,"Antrim and Newtownabbey","Production","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Antrim and Newtownabbey","Production","All",80,90,35,45,25,270
"Number of Businesses",2013,"Antrim and Newtownabbey","Construction","0",110,45,5,NA,NA,165
"Number of Businesses",2013,"Antrim and Newtownabbey","Construction","1 to 9",125,155,40,20,5,350
"Number of Businesses",2013,"Antrim and Newtownabbey","Construction","10 to 49",NA,NA,10,15,5,25
"Number of Businesses",2013,"Antrim and Newtownabbey","Construction","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Antrim and Newtownabbey","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Construction","All",235,200,55,35,20,550
"Number of Businesses",2013,"Antrim and Newtownabbey","Motor Trades","0",30,25,NA,NA,NA,60
"Number of Businesses",2013,"Antrim and Newtownabbey","Motor Trades","1 to 9",20,55,15,25,NA,115
"Number of Businesses",2013,"Antrim and Newtownabbey","Motor Trades","10 to 49",NA,NA,5,10,10,25
"Number of Businesses",2013,"Antrim and Newtownabbey","Motor Trades","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Antrim and Newtownabbey","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Motor Trades","All",50,80,25,35,15,205
"Number of Businesses",2013,"Antrim and Newtownabbey","Wholesale","0",35,25,NA,NA,NA,60
"Number of Businesses",2013,"Antrim and Newtownabbey","Wholesale","1 to 9",30,50,25,30,NA,135
"Number of Businesses",2013,"Antrim and Newtownabbey","Wholesale","10 to 49",NA,NA,NA,30,15,50
"Number of Businesses",2013,"Antrim and Newtownabbey","Wholesale","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Wholesale","All",65,75,35,60,25,255
"Number of Businesses",2013,"Antrim and Newtownabbey","Retail","0",35,35,NA,NA,NA,70
"Number of Businesses",2013,"Antrim and Newtownabbey","Retail","1 to 9",40,135,20,15,NA,215
"Number of Businesses",2013,"Antrim and Newtownabbey","Retail","10 to 49",NA,5,10,30,5,50
"Number of Businesses",2013,"Antrim and Newtownabbey","Retail","50 to 249",NA,NA,NA,NA,10,15
"Number of Businesses",2013,"Antrim and Newtownabbey","Retail","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Antrim and Newtownabbey","Retail","All",80,175,30,50,20,355
"Number of Businesses",2013,"Antrim and Newtownabbey","Transport & Storage (inc Postal)","0",50,15,NA,NA,NA,60
"Number of Businesses",2013,"Antrim and Newtownabbey","Transport & Storage (inc Postal)","1 to 9",30,55,15,15,NA,115
"Number of Businesses",2013,"Antrim and Newtownabbey","Transport & Storage (inc Postal)","10 to 49",NA,5,10,15,5,35
"Number of Businesses",2013,"Antrim and Newtownabbey","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2013,"Antrim and Newtownabbey","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Transport & Storage (inc Postal)","All",80,75,20,30,25,230
"Number of Businesses",2013,"Antrim and Newtownabbey","Accommodation & Food Services","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Accommodation & Food Services","1 to 9",55,85,5,NA,NA,145
"Number of Businesses",2013,"Antrim and Newtownabbey","Accommodation & Food Services","10 to 49",NA,25,10,10,NA,45
"Number of Businesses",2013,"Antrim and Newtownabbey","Accommodation & Food Services","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2013,"Antrim and Newtownabbey","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Accommodation & Food Services","All",60,110,15,15,NA,205
"Number of Businesses",2013,"Antrim and Newtownabbey","Information & Communication","0",10,NA,NA,NA,NA,15
"Number of Businesses",2013,"Antrim and Newtownabbey","Information & Communication","1 to 9",30,20,NA,NA,NA,60
"Number of Businesses",2013,"Antrim and Newtownabbey","Information & Communication","10 to 49",NA,NA,NA,5,NA,5
"Number of Businesses",2013,"Antrim and Newtownabbey","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Information & Communication","All",45,25,5,10,NA,85
"Number of Businesses",2013,"Antrim and Newtownabbey","Finance & Insurance","0",15,NA,NA,NA,NA,15
"Number of Businesses",2013,"Antrim and Newtownabbey","Finance & Insurance","1 to 9",10,20,5,NA,NA,35
"Number of Businesses",2013,"Antrim and Newtownabbey","Finance & Insurance","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Finance & Insurance","All",25,20,5,NA,NA,50
"Number of Businesses",2013,"Antrim and Newtownabbey","Property","0",40,10,NA,NA,NA,50
"Number of Businesses",2013,"Antrim and Newtownabbey","Property","1 to 9",25,30,NA,5,NA,65
"Number of Businesses",2013,"Antrim and Newtownabbey","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Property","All",65,40,NA,5,NA,115
"Number of Businesses",2013,"Antrim and Newtownabbey","Professional, Scientific & Technical","0",35,15,NA,NA,NA,50
"Number of Businesses",2013,"Antrim and Newtownabbey","Professional, Scientific & Technical","1 to 9",105,95,10,NA,NA,210
"Number of Businesses",2013,"Antrim and Newtownabbey","Professional, Scientific & Technical","10 to 49",NA,NA,10,5,NA,25
"Number of Businesses",2013,"Antrim and Newtownabbey","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Professional, Scientific & Technical","All",140,110,15,10,NA,280
"Number of Businesses",2013,"Antrim and Newtownabbey","Business Administration and Support Services","0",40,10,NA,NA,NA,45
"Number of Businesses",2013,"Antrim and Newtownabbey","Business Administration and Support Services","1 to 9",25,45,10,NA,NA,85
"Number of Businesses",2013,"Antrim and Newtownabbey","Business Administration and Support Services","10 to 49",NA,NA,NA,5,NA,15
"Number of Businesses",2013,"Antrim and Newtownabbey","Business Administration and Support Services","50 to 249",NA,NA,NA,5,5,10
"Number of Businesses",2013,"Antrim and Newtownabbey","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Business Administration and Support Services","All",60,55,15,15,10,165
"Number of Businesses",2013,"Antrim and Newtownabbey","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Education","1 to 9",10,15,NA,NA,NA,25
"Number of Businesses",2013,"Antrim and Newtownabbey","Education","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Education","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Education","All",10,15,NA,NA,NA,30
"Number of Businesses",2013,"Antrim and Newtownabbey","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Health","1 to 9",20,60,NA,NA,NA,85
"Number of Businesses",2013,"Antrim and Newtownabbey","Health","10 to 49",NA,5,20,5,NA,35
"Number of Businesses",2013,"Antrim and Newtownabbey","Health","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2013,"Antrim and Newtownabbey","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Health","All",25,65,25,15,NA,135
"Number of Businesses",2013,"Antrim and Newtownabbey","Arts, Entertainment, Recreation and Other Services","0",10,NA,NA,NA,NA,15
"Number of Businesses",2013,"Antrim and Newtownabbey","Arts, Entertainment, Recreation and Other Services","1 to 9",130,85,NA,NA,NA,215
"Number of Businesses",2013,"Antrim and Newtownabbey","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,15,NA,5,NA,25
"Number of Businesses",2013,"Antrim and Newtownabbey","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Antrim and Newtownabbey","Arts, Entertainment, Recreation and Other Services","All",140,105,NA,5,NA,260
"Number of Businesses",2013,"Antrim and Newtownabbey","All Industries","0",850,270,15,NA,NA,1140
"Number of Businesses",2013,"Antrim and Newtownabbey","All Industries","1 to 9",720,1115,195,135,15,2180
"Number of Businesses",2013,"Antrim and Newtownabbey","All Industries","10 to 49",10,70,105,165,55,410
"Number of Businesses",2013,"Antrim and Newtownabbey","All Industries","50 to 249",NA,NA,NA,30,60,95
"Number of Businesses",2013,"Antrim and Newtownabbey","All Industries","250+",NA,NA,NA,NA,25,30
"Number of Businesses",2013,"Antrim and Newtownabbey","All Industries","All",1580,1460,315,340,155,3850
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Agriculture, Forestry & Fishing","0",1530,195,NA,NA,NA,1720
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Agriculture, Forestry & Fishing","1 to 9",55,365,65,10,NA,490
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Agriculture, Forestry & Fishing","10 to 49",NA,5,20,15,NA,40
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Agriculture, Forestry & Fishing","All",1585,560,80,30,NA,2255
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","0",75,20,NA,NA,NA,95
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","1 to 9",85,150,30,20,NA,280
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","10 to 49",NA,10,20,60,10,105
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","50 to 249",NA,NA,NA,NA,25,30
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","All",160,175,50,85,45,515
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Construction","0",310,100,NA,NA,NA,410
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Construction","1 to 9",245,340,50,35,NA,670
