"Statistic","Financial Year","Antrim and Newtownabbey","Armagh City, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry City and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid and East Antrim","Mid Ulster","Newry, Mourne and Down","Ards and North Down","Northern Ireland"
"Households concerned for Environment","2021/22",79,77,84,77,83,84,82,84,68,83,85,81
"Households concerned for Environment","2022/23",89,75,82,78,78,68,90,79,82,83,70,80
"Households concerned for Environment","2023/24",84,75,79,66,81,64,83,73,88,76,82,78
"Households concerned for Environment","2024/25",80,63,74,69,77,68,80,70,62,74,80,73
"Households concerned for Environment","2025/26",86,66,79,62,76,61,82,71,56,75,71,71
"Households not concerned for Environment","2021/22",21,23,16,23,17,16,18,16,32,17,15,19
"Households not concerned for Environment","2022/23",11,25,18,22,22,32,10,21,18,17,30,20
"Households not concerned for Environment","2023/24",16,25,21,34,19,36,17,27,12,24,18,22
"Households not concerned for Environment","2024/25",20,37,26,31,23,32,20,30,38,26,20,27
"Households not concerned for Environment","2025/26",14,34,21,38,24,39,18,29,44,25,29,29
