"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2012/13","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",23,560,583
"Number of school leavers","2012/13","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",36,760,796
"Number of school leavers","2012/13","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",47,814,861
"Number of school leavers","2012/13","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",128,1233,1361
"Number of school leavers","2012/13","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",73,956,1029
"Number of school leavers","2012/13","Antrim and Newtownabbey","Total leavers",224,1450,1674
"Number of school leavers","2012/13","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",60,819,879
"Number of school leavers","2012/13","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",86,1077,1163
"Number of school leavers","2012/13","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",100,1151,1251
"Number of school leavers","2012/13","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",236,1810,2046
"Number of school leavers","2012/13","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",147,1467,1614
"Number of school leavers","2012/13","Armagh City, Banbridge and Craigavon","Total leavers",438,2181,2619
"Number of school leavers","2012/13","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",156,1073,1229
"Number of school leavers","2012/13","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",259,1506,1765
"Number of school leavers","2012/13","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",330,1685,2015
"Number of school leavers","2012/13","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",588,2162,2750
"Number of school leavers","2012/13","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",319,1711,2030
"Number of school leavers","2012/13","Belfast","Total leavers",1030,2675,3705
"Number of school leavers","2012/13","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",42,527,569
"Number of school leavers","2012/13","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",67,775,842
"Number of school leavers","2012/13","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",83,846,929
"Number of school leavers","2012/13","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",190,1221,1411
"Number of school leavers","2012/13","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",98,990,1088
"Number of school leavers","2012/13","Causeway Coast and Glens","Total leavers",304,1455,1759
"Number of school leavers","2012/13","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",111,639,750
"Number of school leavers","2012/13","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",198,909,1107
"Number of school leavers","2012/13","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",232,982,1214
