"Statistic","Year","Animal By-Products","Bakeries","Beef & Sheepmeat","Drinks","Eggs","Fish","Fruit & Vegetables","Milk & Milk Products","Pigmeat","Poultrymeat","All Products"
"Value Added",1989,6.3,47.5,34.2,40.9,3.3,9.2,13.1,73.3,26.1,33.4,287.3
"Value Added",1990,7.2,50.2,41.1,44.9,7.6,9.6,13.3,78.1,28.6,40.8,321.4
"Value Added",1991,8.3,53,42.1,50.7,7.3,10.7,15.4,77.5,28.7,52.4,346.1
"Value Added",1992,8.3,47.8,43.6,54.7,7.8,10.8,18.2,83.5,28.9,57,360.6
"Value Added",1993,7.5,41.8,41.1,64,8.5,11.7,20.3,76.2,32.4,57.8,361.3
"Value Added",1994,4.3,48.5,39.7,64.8,8,12.2,18.2,76.5,31.6,56.8,360.6
"Value Added",1995,4.4,54.5,41.4,66.9,7.3,11.2,20.8,59.8,28.9,62.7,357.9
"Value Added",1996,4.8,59.2,45,68.5,7,13.5,21.9,65.5,24.4,63.8,373.4
"Value Added",1997,6.7,52.8,52.4,80.2,5.9,15,21,64.4,31.7,58.8,388.9
"Value Added",1998,6.7,52.5,52.2,83.9,5.8,16.5,22.7,58.2,35.7,58,392
"Value Added",1999,7.2,51.2,64.7,80.8,6.3,16.2,27,63.2,37.7,58.1,412.5
"Value Added",2000,6.7,54.3,69.7,76.2,4,16.2,28.6,65.8,27.6,69.5,418.6
"Value Added",2001,7.8,54.8,75.2,79.8,5.8,19.2,29.9,64,28.1,76.2,440.8
"Value Added",2002,7.6,60.3,72.3,74.8,4.5,20.3,34.4,76.9,28.5,78.3,457.7
"Value Added",2003,6.6,58.2,72.1,72.1,5.6,18.5,39.2,82.4,26.9,88.9,470.5
"Value Added",2004,5.6,61.1,78.3,69.1,5.5,18.4,41.5,85,29.7,90.1,484.4
"Value Added",2005,6,64.1,84.9,68.1,5.6,17.1,45.9,78.6,28.6,100,499
"Value Added",2006,6.7,68,86.1,65.2,5.6,16.5,49.4,78.5,25.2,83.9,485
"Value Added",2007,7.4,71.7,92.5,76,8.5,14.4,52.1,82.7,28,97.7,531.1
"Value Added",2008,7.4,85.3,97.5,70,8.8,14.1,56,94.9,32,98,563.9
"Value Added",2009,7.3,89.2,102.3,69.6,12.5,13.8,57.4,98.3,34.8,137,622.3
"Value Added",2010,8.1,90.8,118.1,79.5,12.8,15.2,58.2,85.6,31,142,641.2
"Value Added",2011,8.2,83.7,120.2,95.7,11.9,15.7,61.7,85.1,35.8,127.6,645.6
"Value Added",2012,9,87.7,135,99.8,16,14.9,59.6,84.9,36,142.8,685.9
"Value Added",2013,9,92.3,131.5,100.9,17.5,15.5,65.5,83,33.3,156,704.3
"Value Added",2014,10.9,94.9,134.6,110.9,19.7,14.6,71.8,69.8,39.7,143.8,710.7
"Value Added",2015,9.8,90.4,146.4,109.9,21.9,15.5,73.6,84.3,44.6,161,757.4
"Value Added",2016,8.6,108,159.9,97.9,26.6,17,81,103.5,49.4,176.3,828.3
"Value Added",2017,10.9,111.6,169.9,103.2,28.4,18.2,83.8,126.5,58.7,201.2,912.6
"Value Added",2018,10.3,122.4,197.5,109.4,27.6,18.8,93.2,109.1,57.3,188.9,934.5
"Value Added",2019,10.6,138.7,191.3,108.3,29.4,19.5,103.2,137.8,65.7,199.4,1003.9
"Value Added",2020,11,143.4,236.7,119.2,29,19.4,119.8,99.8,71.7,203.1,1053.1
"Value Added",2021,10.4,144.2,235.5,142.2,28.9,19.9,121.8,115.6,61.3,202.9,1082.7
"Value Added",2022,10.3,158.1,219.5,152.7,29.7,19.8,129.2,138.7,69.6,191.9,1119.6
"Employment",1989,237,3173,3018,1546,359,1055,853,3714,2106,3104,19165
"Employment",1990,245,3162,2981,1586,363,1007,848,3536,2094,3140,18962
"Employment",1991,245,3179,2778,1600,373,1154,1070,3120,2229,3601,19349
"Employment",1992,229,3019,3164,1581,384,1154,1325,3131,2239,3837,20063
"Employment",1993,191,3300,2786,1649,438,999,1188,3191,2215,4349,20306
"Employment",1994,210,3516,2733,1809,451,958,1038,3132,2343,4328,20518
"Employment",1995,221,3633,2484,1715,388,1004,1120,2869,2310,4030,19774
"Employment",1996,272,3800,2414,1758,389,1055,1241,2803,2325,3807,19861
"Employment",1997,266,3575,2212,1817,330,978,1254,2800,2397,3797,19425
"Employment",1998,251,3326,2247,1843,385,1119,1303,2589,2360,3970,19390
"Employment",1999,277,3324,2501,1820,357,948,1385,2458,1990,3779,18838
"Employment",2000,264,3331,2803,1763,192,992,1464,2383,1510,4205,18906
"Employment",2001,270,3416,2770,1780,205,996,1518,2227,1454,4160,18793
"Employment",2002,255,3500,2810,1542,193,1000,1560,2228,1489,4178,18754
"Employment",2003,216,3274,2623,1563,197,900,1640,2369,1541,4399,18720
"Employment",2004,170,3134,2846,1407,172,861,1708,2423,1572,4261,18552
"Employment",2005,164,3015,2893,1246,181,792,1804,2352,1442,4890,18776
"Employment",2006,164,3107,3039,1179,171,764,1925,2310,1314,4498,18469
"Employment",2007,142,3292,3170,1258,211,674,1871,2320,1325,4350,18610
"Employment",2008,119,3374,3326,1292,221,604,1955,2245,1377,4698,19209
"Employment",2009,123,3404,3532,1168,217,560,2066,2201,1392,5079,19740
"Employment",2010,115,3396,3726,1168,228,568,2069,2201,1305,5262,20037
"Employment",2011,114,3165,3916,1437,263,512,2096,2050,1291,5124,19966
"Employment",2012,120,3260,4136,1385,268,516,2152,2163,1312,4985,20294
"Employment",2013,117,3261,4385,1377,291,533,2305,2182,1378,5014,20843
"Employment",2014,116,3466,4562,1362,311,553,2403,1856,1366,4510,20502
"Employment",2015,116,3719,4778,1327,346,550,2415,1856,1414,5055,21575
"Employment",2016,115,3823,5103,1328,378,596,2509,1954,1528,5230,22562
"Employment",2017,112,3925,5184,1318,395,643,2553,2200,1725,5639,23692
"Employment",2018,115,4095,5507,1424,413,633,2847,2354,1650,5171,24208
"Employment",2019,102,4418,5697,1442,417,629,2926,2299,1736,5215,24880
"Employment",2020,110,4392,5673,1302,405,599,2966,2137,1923,5491,24997
"Employment",2021,108,4484,5762,1353,404,613,2946,2296,1853,5434,25251
"Employment",2022,109,4525,5507,1436,408,602,3217,2337,1946,5422,25508
"Gross Turnover",1989,20.9,135.4,417.5,240.3,32.5,43,46.5,434.1,133.3,140,1643.5
"Gross Turnover",1990,21.1,139,418.2,255.1,40.3,46.9,54.8,461.3,152.2,156.1,1745
"Gross Turnover",1991,19.5,145.2,405.1,259.5,38.7,50.7,64.9,442.7,156.3,186.5,1769.1
"Gross Turnover",1992,19.5,146.9,439.7,269.8,42,51.6,76.8,494,157.8,208.1,1906.2
"Gross Turnover",1993,16.2,167.8,504.8,262.9,45.8,52.2,88.8,551.6,178.9,247.6,2116.6
"Gross Turnover",1994,15.6,192,507.8,259.5,47,60.9,98.8,583.8,178.1,260,2203.5
"Gross Turnover",1995,17.4,168.5,511.6,261.2,44,66.2,102,601.4,188.4,255.1,2215.8
"Gross Turnover",1996,22.2,161.2,476.9,272.4,57,71.6,117.3,653.1,232.5,270,2334.2
"Gross Turnover",1997,21.1,155.2,449.8,290.3,43,75.8,117.8,613.1,251.5,283,2300.4
"Gross Turnover",1998,22.7,143.1,384.6,289.8,44.9,79.3,119,591.4,212.7,270.7,2158.2
"Gross Turnover",1999,23.9,140.6,404.4,302.7,43,72.3,126.6,550.4,195.7,273.5,2133.1
"Gross Turnover",2000,23.6,144.5,489.6,298.8,33.5,78.3,128.3,522.6,147.8,283.6,2150.7
"Gross Turnover",2001,23.1,149.9,483.8,315.4,34.1,80.3,128.9,522.4,158.6,299,2195.5
"Gross Turnover",2002,23.1,166.7,503.4,301.5,32.5,83.5,142.5,541.1,164.2,318.4,2276.9
"Gross Turnover",2003,23.5,175.3,518.4,323.7,34.9,74.9,157.9,573.1,178.9,340.5,2401.3
"Gross Turnover",2004,17.4,174.9,585.6,290.7,34.3,76.7,142.2,611.6,190.6,372.3,2496.4
"Gross Turnover",2005,16.7,179,609.9,274,31,77.9,155.4,588.3,170,440.4,2542.4
"Gross Turnover",2006,17.1,191.4,654.2,286.4,33,77.7,164.4,599.7,161.1,429.4,2614.4
"Gross Turnover",2007,16.4,218.4,669.7,314.6,45.7,67.1,180.9,693.3,177.6,473.9,2857.6
"Gross Turnover",2008,18,253.9,762.8,339.7,61.3,64.4,193.4,818.3,196.6,507.7,3216
"Gross Turnover",2009,20.4,263.6,891.9,329.7,77.3,68.7,215.9,776.8,230.3,594,3468.7
"Gross Turnover",2010,23.3,261.5,991.8,350.4,88.9,67.3,228.2,874.8,243.8,645.1,3775.1
"Gross Turnover",2011,29,271.5,1038.6,386.6,96.9,71.2,250.4,976.3,250,670.9,4041.4
"Gross Turnover",2012,37.1,273,1166.6,390.8,112.6,69.8,255,971.9,299.8,675.2,4251.9
"Gross Turnover",2013,40.3,285.8,1213.9,416,131.5,75.9,298.6,1000.1,316.4,696.6,4475
"Gross Turnover",2014,51.2,286.1,1247.3,416.9,139.4,77.1,308.1,1010.2,327.6,706,4569.8
"Gross Turnover",2015,56.7,283.3,1255.3,386.1,142.6,77.3,308.9,903.3,302.3,701.2,4417.1
"Gross Turnover",2016,47.9,311.5,1194.9,369.2,153.2,79.7,321.1,876.2,317.7,680.3,4351.6
"Gross Turnover",2017,53.1,326.7,1321.3,390.7,175.4,90.5,339.4,1067.6,343.2,709,4816.9
"Gross Turnover",2018,46.6,375.7,1450.2,419.5,182,89.2,366.5,1142.8,364.2,745.4,5182.1
"Gross Turnover",2019,45.1,404.7,1403.9,448.5,189.8,95.4,395.2,1227.4,399.6,771,5380.5
"Gross Turnover",2020,48.4,442.1,1479.8,423.3,189.7,90.1,422.7,1186.4,453,705.9,5441.3
