"Statistic","Year","Northern Ireland","Great Britain","Ireland","Other EU","Other Countries","Intervention","Total Sales"
"Sales",1989,802,562.8,116.7,102.7,41.5,17.5,1643.5
"Sales",1990,773.9,567.8,121.6,100.3,53.3,128.1,1745
"Sales",1991,803.2,588.5,123.8,83.1,29.6,140.9,1769.1
"Sales",1992,890,599,138,96,34,149,1906
"Sales",1993,1014,700,170,134,68,31,2117
"Sales",1994,1057,711.7,189.5,164,81.2,0,2203.4
"Sales",1995,1033.1,714.2,174.8,200.9,93,0,2215.9
"Sales",1996,1058.5,767.6,182.8,193.9,83.6,47.7,2334.2
"Sales",1997,1128.7,752.9,169.4,118,43.6,87.8,2300.4
"Sales",1998,1014.8,765.3,150.7,122.2,41.2,63.9,2158.2
"Sales",1999,1015.1,762.5,162.9,147.5,37.3,7.9,2133.1
"Sales",2000,979.5,751.1,215.8,152.1,52,0.2,2150.7
"Sales",2001,967.4,771,239.6,163.4,52.9,1.2,2195.5
"Sales",2002,933.9,796.3,312.5,161.8,56.1,16.3,2276.9
"Sales",2003,972.6,845.7,342.5,173.9,57.6,9,2401.4
"Sales",2004,938.4,945.7,305.4,217.9,89,0,2496.4
"Sales",2005,911.2,1031.4,319.2,187.2,93.3,0,2542.4
"Sales",2006,917.9,1059.2,364.4,188.8,84.1,0,2614.4
"Sales",2007,966,1123.5,457.7,236.3,74.1,0,2857.6
"Sales",2008,964.7,1333.7,566.2,270.8,80.6,0,3216
"Sales",2009,1051.8,1456.8,616.5,260,74,9.6,3468.7
"Sales",2010,1173.9,1540.5,658.2,323.2,79.4,0,3775.1
"Sales",2011,1244.1,1580.5,676.8,408.8,131.2,0,4041.4
"Sales",2012,1267.3,1712.6,695.6,443.8,132.7,0,4251.9
"Sales",2013,1185.8,1971.1,694,493.3,130.8,0,4475
"Sales",2014,1246.2,2023.2,704.6,456.9,138.8,0,4569.8
"Sales",2015,1139.8,2099.1,623.5,416.3,138.4,1.2,4418.3
"Sales",2016,1061.1,2188.1,644.9,336.9,117.2,3.4,4351.6
"Sales",2017,1177.5,2378.3,710.3,415.8,134.1,0.9,4816.9
"Sales",2018,1305.4,2518.4,789.2,440.8,128.6,0,5182.4
"Sales",2019,1267.2,2540.1,861.8,416,295.4,0,5380.5
"Sales",2020,1265.9,2658,878.1,390.5,248.8,0,5441.3
"Sales",2021,1332.3,2823.8,924.9,472.6,315,0,5868.5
"Sales",2022,1421.8,3161.6,1078.2,631.4,223.1,0,6516
