"Statistic","Year","United Kingdom","England","Wales","Scotland","Northern Ireland"
"Gross disposable household income",1997,10596,10850,9264,9581,8567
"Gross disposable household income",1998,10814,11086,9297,9792,8590
"Gross disposable household income",1999,11298,11591,9721,10156,8919
"Gross disposable household income",2000,11889,12187,10277,10751,9383
"Gross disposable household income",2001,12353,12652,10702,11286,9641
"Gross disposable household income",2002,12643,12921,10993,11689,10173
"Gross disposable household income",2003,13022,13294,11404,12081,10643
"Gross disposable household income",2004,13556,13824,11868,12664,11241
"Gross disposable household income",2005,14038,14320,12162,13089,11814
"Gross disposable household income",2006,14618,14907,12545,13704,12403
"Gross disposable household income",2007,15297,15616,12912,14415,12659
"Gross disposable household income",2008,15695,15991,13440,15021,12869
"Gross disposable household income",2009,15963,16285,13456,15214,13041
"Gross disposable household income",2010,16111,16421,13660,15417,13226
"Gross disposable household income",2011,16270,16558,13883,15711,13519
"Gross disposable household income",2012,16870,17190,14300,16198,13749
"Gross disposable household income",2013,17506,17851,14616,16777,14305
"Gross disposable household income",2014,18061,18425,15092,17192,14760
"Gross disposable household income",2015,19004,19448,15591,17717,15248
"Gross disposable household income",2016,19227,19682,15717,17859,15480
"Gross disposable household income",2017,19677,20136,16237,18199,15965
"Gross disposable household income",2018,20406,20904,16860,18692,16347
"Gross disposable household income",2019,21015,21515,17300,19391,16871
"Gross disposable household income",2020,20962,21433,17668,19339,16992
"Gross disposable household income",2021,21635,22137,18015,19872,17635
"Gross disposable household income",2022,22789,23338,18652,20854,18685
