"Statistic","Year","Local Government District","Industry electricity","Industry gas","Large industrial installations","Industry 'other'","Industry total","Commercial electricity","Commercial gas","Commercial 'other'","Commercial total","Public sector electricity","Public sector gas","Public sector 'other'","Public sector total","Domestic electricity","Domestic gas","Domestic 'other'","Domestic total","Road transport (A roads)","Road transport (motorways)","Road transport (minor roads)","Diesel railways","Transport 'other'","Transport total","Net emissions: forest land","Net emissions: cropland","Net emissions: grassland","Net emissions: wetlands","Net emissions: settlements","Net emissions: harvested wood products","Net emissions: indirect N2O","LULUCF net emissions","Agriculture electricity","Agriculture gas","Agriculture 'other'","Agriculture livestock","Agriculture soils","Agriculture total","Landfill","Waste management 'other'","Waste management total","Grand total"
"Carbon dioxide",2005,"Antrim and Newtownabbey",140.5,6.1,10,47.3,203.9,32.6,16.9,5.4,55,11.7,16.7,5.3,33.7,129.1,17,204.6,350.7,144.1,102.5,118,2.8,10.1,377.6,-11.1,26.6,-62.8,22.5,53.3,0,0.8,29.4,1.5,0.1,15.6,0,4.8,22,0,0.3,0.3,1072.6
"Carbon dioxide",2005,"Armagh City, Banbridge and Craigavon",186.8,0,44,92.8,323.7,51.6,0,11.7,63.3,16.7,0,7.8,24.5,178.3,0,350.4,528.7,257.2,68.8,261.5,3.3,3.9,594.7,-22.8,106.6,-162.9,129,74.7,0,2.5,127,5.2,0,40.6,0,14.4,60.2,0,0.6,0.6,1722.5
"Carbon dioxide",2005,"Belfast",286.5,55.7,29.3,47.1,418.6,213.6,118.9,12.4,344.9,105.1,112.1,33.3,250.4,317,131.8,278.6,727.3,240,56.6,101.7,4.2,19.6,422.2,-0.7,1.8,-7.8,0.3,82.9,0,0.1,76.6,0.2,1.3,1.4,0,0.4,3.2,0,1.1,1.1,2244.2
"Carbon dioxide",2005,"Causeway Coast and Glens",69.9,0,3.8,53.6,127.3,39.9,0,7.3,47.3,12.6,0,6.1,18.7,126.4,0,250.2,376.5,179.7,0,246.6,4.5,3.8,434.6,-107.2,118.9,-137.6,319.4,51.3,0,1,245.8,3.2,0,35.1,0,15,53.3,0,0.4,0.4,1304
"Carbon dioxide",2005,"Derry City and Strabane",144.7,0,133,54.9,332.5,52,0,5.4,57.3,23.9,0,8,31.8,125.8,0,238,363.7,141.3,0,167.4,0.8,4,313.5,-54.8,42.9,-81,299.2,55.1,0,0.9,262.3,2.5,0,22.6,0,3.3,28.3,0,0.3,0.3,1389.8
"Carbon dioxide",2005,"Fermanagh and Omagh",107.5,0,425.2,98.2,630.9,38.4,0,4.8,43.2,14.1,0,6.7,20.9,88.9,0,212.3,301.3,158.8,0,293.4,0,3.6,455.8,-184.7,34.8,-176.7,578.8,57.8,0,4.6,314.5,2.9,0,52,0,11.9,66.7,0,0.2,0.2,1833.6
"Carbon dioxide",2005,"Lisburn and Castlereagh",79.7,17.2,42,71.2,210,37.1,16.2,7.2,60.5,16.2,16.1,8.6,40.9,125.1,24.4,206.5,356,166,82.1,109,2.9,2.3,362.4,-7.7,44.1,-60.3,3.1,50,0,0.5,29.7,1.7,1.7,13.2,0,5.1,21.7,0,0.4,0.4,1081.6
"Carbon dioxide",2005,"Mid and East Antrim",128.8,24.4,27.4,181.4,362,37,27.1,5.9,70.1,9.9,32,5.8,47.7,130.9,12.6,216.5,360,159.8,18.3,160,3.2,5.3,346.5,-29.9,47,-81.9,104.1,48.6,0,0.5,88.4,2.5,0.9,22.7,0,8,34,0,0.3,0.3,1309
"Carbon dioxide",2005,"Mid Ulster",149.3,0,461.7,170.2,781.1,29.4,0,7.9,37.4,6.8,0,5.2,12,114.4,0,241.5,355.9,190.2,13,253.3,0,3.2,459.7,-65.6,70.9,-160.8,295.6,52.1,0,2.9,195.1,2.4,0,48.2,0,15.4,66,0,0.3,0.3,1907.6
"Carbon dioxide",2005,"Newry, Mourne and Down",101.4,0,0,83.2,184.6,36.4,0,7.7,44.1,11,0,7.1,18.1,150.8,0,296.1,446.9,271.8,0,222,0.9,4.7,499.4,-42.5,176.1,-149.3,69,57.1,0,-0.7,109.7,4,0,34.9,0,15.1,54,0,0.4,0.4,1357.1
"Carbon dioxide",2005,"Ards and North Down",55.6,14.5,0.1,25.2,95.4,39.4,28.5,3.9,71.7,10.8,11.1,5.5,27.3,149.3,32.2,224.6,406.1,147.6,0,90.8,2.3,2.1,242.8,-7.4,127,-31.2,13.5,48.4,0,-1.7,148.7,2.7,0.3,12.1,0,6.4,21.5,0,0.5,0.5,1014.1
"Carbon dioxide",2005,"Northern Ireland",1450.6,117.9,1176.4,924.9,3669.9,607.6,207.6,79.5,894.7,238.8,187.9,99.3,526,1635.9,217.9,2719.3,4573.2,2056.6,341.2,2023.8,24.9,62.6,4509.2,-534.3,796.6,-1112.5,1834.5,631.3,0,11.4,1627.1,28.6,4.4,298.2,0,99.8,431.1,0,4.9,4.9,16236
"Carbon dioxide",2006,"Antrim and Newtownabbey",160.7,5.7,10.9,42.3,219.5,37.3,15.6,5.3,58.2,13.4,15.4,4.6,33.4,138.6,19.5,208.1,366.2,142,101.3,119.9,2.8,10.4,376.5,-11.5,26.5,-62.2,23.5,52.9,0,0.6,29.8,1.7,0.1,15.4,0,4.2,21.4,0,0.3,0.3,1105.4
"Carbon dioxide",2006,"Armagh City, Banbridge and Craigavon",213.6,6.7,46.3,74.8,341.5,59,1.7,11.6,72.3,19.1,1.3,6.8,27.1,191.4,0.1,356.4,548,253.1,68,266.4,3.2,4,594.7,-23.4,105.6,-162.6,129.4,73.9,0,3.2,126.1,5.9,0.2,40.3,0,12.8,59.3,0,0.5,0.5,1769.5
"Carbon dioxide",2006,"Belfast",327.6,56.7,21.8,42.6,448.6,244.2,121.1,12.1,377.4,120.2,114.1,29.1,263.4,340.3,129.9,282.7,752.9,233.9,56,102.1,4.2,26.3,422.4,-0.8,1.8,-7.2,0.3,82.4,0,0,76.5,0.2,1.3,1.3,0,0.3,3.2,0,1.1,1.1,2345.5
"Carbon dioxide",2006,"Causeway Coast and Glens",79.9,0.6,3.5,42.6,126.6,45.7,1.9,7.4,54.9,14.4,0.7,5.4,20.5,135.7,0.2,254.4,390.2,177.4,0,251.5,4.5,3.9,437.2,-109.6,119.7,-137.1,318.7,51.5,0,1.8,245,3.6,0.1,34.8,0,13.3,51.8,0,0.4,0.4,1326.7
"Carbon dioxide",2006,"Derry City and Strabane",165.4,1.1,142.7,50.5,359.6,59.4,0.3,5.4,65.1,27.3,0.9,6.9,35.1,135,0.3,241.9,377.2,138.7,0,170.1,0.8,5.4,315.1,-55.5,42.9,-80.6,298.6,55.2,0,1.2,261.8,2.8,0.1,22.3,0,3,28.2,0,0.3,0.3,1442.3
"Carbon dioxide",2006,"Fermanagh and Omagh",123,0,485.3,78.6,686.9,43.9,0,5,48.9,16.2,0,6.1,22.2,95.5,0,216,311.5,156.5,0,299.4,0,3.7,459.6,-188,34,-177.3,578.3,57.6,0,2.4,307.1,3.3,0,51.6,0,10.3,65.2,0,0.2,0.2,1901.7
"Carbon dioxide",2006,"Lisburn and Castlereagh",91.1,12.4,45.9,59.4,208.8,42.4,11.7,7.2,61.3,18.5,11.6,7.5,37.6,134.3,27.3,209.9,371.5,163.1,81.2,110.9,2.9,2.4,360.5,-7.9,43.8,-59.5,3.1,49.8,0,0.8,30,1.9,1.3,13.1,0,4.5,20.8,0,0.4,0.4,1091
"Carbon dioxide",2006,"Mid and East Antrim",147.2,26.3,26.1,155.4,355.1,42.3,29.2,5.9,77.5,11.3,34.4,5,50.8,140.5,12.4,220.1,373,157.2,18.1,162.8,3.2,6.6,347.8,-30.6,47,-81.8,104.1,47.8,0,0.9,87.4,2.8,1,22.4,0,7,33.3,0,0.3,0.3,1325.1
"Carbon dioxide",2006,"Mid Ulster",170.7,0,430.8,134.8,736.3,33.7,0,8.2,41.9,7.8,0,4.6,12.4,122.9,0,245.7,368.5,187.8,12.8,258.7,0,3.3,462.7,-66.9,70.8,-160.6,296,51.4,0,2.2,192.8,2.8,0,47.7,0,13.5,64,0,0.3,0.3,1878.8
"Carbon dioxide",2006,"Newry, Mourne and Down",115.9,0,0,72.1,188.1,41.6,0.1,8.7,50.4,12.6,0,6.2,18.8,161.9,0,301.6,463.5,268.1,0,226.7,0.9,5.4,501.1,-44.2,177.3,-148.8,68.9,57.1,0,1.1,111.4,4.6,0,34.6,0,13.6,52.8,0,0.3,0.3,1386.5
