"Statistic","Year","Northern Ireland"
"Gross value added of the agriculture sector",1981,247.6
"Gross value added of the agriculture sector",1982,283.8
"Gross value added of the agriculture sector",1983,304.9
"Gross value added of the agriculture sector",1984,362.4
"Gross value added of the agriculture sector",1985,314.9
"Gross value added of the agriculture sector",1986,294.7
"Gross value added of the agriculture sector",1987,357
"Gross value added of the agriculture sector",1988,409.3
"Gross value added of the agriculture sector",1989,469.7
"Gross value added of the agriculture sector",1990,409.3
"Gross value added of the agriculture sector",1991,445
"Gross value added of the agriculture sector",1992,466.2
"Gross value added of the agriculture sector",1993,539.3
"Gross value added of the agriculture sector",1994,546.7
"Gross value added of the agriculture sector",1995,609.7
"Gross value added of the agriculture sector",1996,570.7
"Gross value added of the agriculture sector",1997,518
"Gross value added of the agriculture sector",1998,434.7
"Gross value added of the agriculture sector",1999,432.2
"Gross value added of the agriculture sector",2000,455.3
"Gross value added of the agriculture sector",2001,509.8
"Gross value added of the agriculture sector",2002,439.9
"Gross value added of the agriculture sector",2003,456.8
"Gross value added of the agriculture sector",2004,507.2
"Gross value added of the agriculture sector",2005,275.5
"Gross value added of the agriculture sector",2006,253.7
"Gross value added of the agriculture sector",2007,341
"Gross value added of the agriculture sector",2008,333.2
"Gross value added of the agriculture sector",2009,277.9
"Gross value added of the agriculture sector",2010,358.6
"Gross value added of the agriculture sector",2011,465.9
"Gross value added of the agriculture sector",2012,425.5
"Gross value added of the agriculture sector",2013,504.5
"Gross value added of the agriculture sector",2014,491
"Gross value added of the agriculture sector",2015,401.2
"Gross value added of the agriculture sector",2016,486
"Gross value added of the agriculture sector",2017,706.3
"Gross value added of the agriculture sector",2018,619.6
"Gross value added of the agriculture sector",2019,591.5
"Gross value added of the agriculture sector",2020,671.6
"Gross value added of the agriculture sector",2021,738.6
"Gross value added of the agriculture sector",2022,911.4
"Gross value added of the agriculture sector",2023,827.2
"Gross value added of the agriculture sector",2024,1106.7
