"Statistic","Year","Northern Ireland"
"Number of coastal water bodies in good ecological status",2015,9
"Number of coastal water bodies in good ecological status",2016,8
"Number of coastal water bodies in good ecological status",2017,10
"Number of coastal water bodies in good ecological status",2018,10
"Number of coastal water bodies in good ecological status",2019,13
"Number of coastal water bodies in good ecological status",2020,12
"Number of coastal water bodies in good ecological status",2021,10
"Number of coastal water bodies in good ecological status",2022,10
"Number of coastal water bodies in good ecological status",2023,10
"Number of coastal water bodies in good ecological status",2024,10
"Number of coastal water bodies in good ecological status",2025,10
