"Statistic","Financial year","Northern Ireland"
"Percentage of features within protected sites in favourable condition","2016/17",54.3
"Percentage of features within protected sites in favourable condition","2017/18",55.2
"Percentage of features within protected sites in favourable condition","2018/19",53.9
"Percentage of features within protected sites in favourable condition","2019/20",54.8
"Percentage of features within protected sites in favourable condition","2020/21",55
"Percentage of features within protected sites in favourable condition","2021/22",54.7
"Percentage of features within protected sites in favourable condition","2022/23",54.9
"Percentage of features within protected sites in favourable condition","2023/24",55.1
"Percentage of features within protected sites in favourable condition","2024/25",54.3
"Percentage of features within protected sites in favourable condition","2025/26",52
