"Statistic","Year","Northern Ireland"
"Northern Ireland's score on Nation Brands Index",2016,57.93
"Northern Ireland's score on Nation Brands Index",2017,59.01
"Northern Ireland's score on Nation Brands Index",2018,58.71
"Northern Ireland's score on Nation Brands Index",2019,59.38
"Northern Ireland's score on Nation Brands Index",2020,59.16
"Northern Ireland's score on Nation Brands Index",2021,61.27
"Northern Ireland's score on Nation Brands Index",2022,60.89
"Northern Ireland's score on Nation Brands Index",2023,61.62
"Northern Ireland's score on Nation Brands Index",2024,61.13
"Northern Ireland's score on Nation Brands Index",2025,62.21
