"Statistic","Grouped Year","Local Government District","Females","Males"
"Life expectancy at birth","2008-10","Antrim and Newtownabbey",81.64658783,77.78052075
"Life expectancy at birth","2008-10","Armagh City, Banbridge and Craigavon",81.8935683,76.92297705
"Life expectancy at birth","2008-10","Belfast",80.14012421,74.72896888
"Life expectancy at birth","2008-10","Causeway Coast and Glens",82.0914538,77.6112114
"Life expectancy at birth","2008-10","Derry City and Strabane",79.93494569,75.99869437
"Life expectancy at birth","2008-10","Fermanagh and Omagh",82.40591701,77.2546714
"Life expectancy at birth","2008-10","Lisburn and Castlereagh",82.21733363,78.4035646
"Life expectancy at birth","2008-10","Mid and East Antrim",81.91158452,77.50509887
"Life expectancy at birth","2008-10","Mid Ulster",81.81566634,77.74287908
"Life expectancy at birth","2008-10","Newry, Mourne and Down",81.44586832,77.46365557
"Life expectancy at birth","2008-10","Ards and North Down",82.05535389,78.32357607
"Life expectancy at birth","2008-10","NI",81.43148039,76.99565777
"Life expectancy at birth","2009-11","Antrim and Newtownabbey",81.93883276,78.31253625
"Life expectancy at birth","2009-11","Armagh City, Banbridge and Craigavon",82.39875443,77.3949779
"Life expectancy at birth","2009-11","Belfast",80.52927019,75.39806622
"Life expectancy at birth","2009-11","Causeway Coast and Glens",82.62579546,77.76147724
"Life expectancy at birth","2009-11","Derry City and Strabane",80.26640425,76.71769878
"Life expectancy at birth","2009-11","Fermanagh and Omagh",82.61251049,77.64847853
"Life expectancy at birth","2009-11","Lisburn and Castlereagh",82.29379296,78.79823331
"Life expectancy at birth","2009-11","Mid and East Antrim",82.44783002,77.60877503
"Life expectancy at birth","2009-11","Mid Ulster",82.47952538,78.28324607
"Life expectancy at birth","2009-11","Newry, Mourne and Down",82.01879028,78.04361681
"Life expectancy at birth","2009-11","Ards and North Down",82.57227682,78.3796349
"Life expectancy at birth","2009-11","NI",81.85338617,77.44089038
"Life expectancy at birth","2010-12","Antrim and Newtownabbey",81.93058267,78.23101796
