"Statistic","Financial year","Age - 16-24","Age - 25-34","Age - 35-49","Age - 50-64","Age - 65-74","Age - 75+","Sex - Female","Sex - Male","Marital status - Single","Marital status - Married/Civil partnership","Marital status - Separated","Marital status - Divorced","Marital status - Widowed","Disability - Disabled","Disability - Not Disabled","Religion - Catholic","Religion - Protestant and other Christian","Religion - Other/no religion","Sexual orientation- Straight or heterosexual","Sexual orientation - Gay/lesbian, bisexual or other","Dependants - Has dependants","Dependants - Does not have dependants","Ethnic group - White","Ethnic group - Other","Northern Ireland"
"Average life satisfaction score for people aged 16 and over","2014/15",8.2,7.9,7.7,7.9,7.9,7.9,7.8,7.7,7.7,8,6.6,7.1,7.2,6.8,8.1,7.8,7.8,7.5,NA,NA,7.7,7.8,NA,NA,7.8
"Average life satisfaction score for people aged 16 and over","2015/16",8.1,7.9,7.6,7.5,8,7.7,7.8,7.7,7.6,8.1,6.7,6.9,7.4,6.8,8.1,7.8,7.8,7.4,NA,NA,7.9,7.7,NA,NA,7.8
"Average life satisfaction score for people aged 16 and over","2016/17",7.8,8,7.7,7.6,8,7.8,7.8,7.8,7.5,8.1,7.2,7.3,7.5,6.9,8.1,7.8,7.9,7.6,NA,NA,7.9,7.7,NA,NA,7.8
"Average life satisfaction score for people aged 16 and over","2017/18",8.2,8,7.7,7.7,8.1,8.1,7.9,7.9,7.8,8.2,7,7.2,7.4,7,8.2,7.9,8,7.7,NA,NA,7.9,7.9,NA,NA,7.9
"Average life satisfaction score for people aged 16 and over","2018/19",8,8,7.8,7.5,8,7.8,7.8,7.8,7.7,8.1,7.2,7,7.2,6.8,8.2,7.8,7.9,7.6,7.8,7.3,7.9,7.7,7.8,7.7,7.8
"Average life satisfaction score for people aged 16 and over","2019/20",7.8,7.9,7.9,7.7,7.6,8,7.8,7.8,7.6,8.1,7,7,7.6,6.9,8.1,7.8,7.9,7.5,7.8,7.5,7.8,7.8,7.8,7.6,7.8
"Average life satisfaction score for people aged 16 and over","2020/21",7.7,7.7,7.6,7.5,7.8,7.9,7.6,7.7,7.4,7.9,NA,6.9,7.5,NA,NA,7.6,7.8,7.3,NA,NA,7.7,7.6,NA,NA,7.6
"Average life satisfaction score for people aged 16 and over","2021/22",8,7.8,7.7,7.5,7.8,7.9,7.7,7.8,7.6,8,7.1,7.2,7.4,7,8,7.7,7.9,7.6,NA,NA,7.8,7.7,NA,NA,7.7
"Average life satisfaction score for people aged 16 and over","2022/23",7.7,7.7,7.5,7.5,7.7,7.7,7.6,7.6,7.4,7.9,6.7,7.1,7.4,6.7,8,7.6,7.7,7.5,NA,NA,7.6,7.6,7.6,7.3,7.6
"Average life satisfaction score for people aged 16 and over","2023/24",7.9,7.9,7.7,7.6,7.9,7.9,7.8,7.7,7.5,8.1,7.1,7.3,7.5,6.9,8.1,7.8,7.9,7.5,7.8,7.7,7.9,7.7,7.8,7.8,7.8
