"Statistic","Year","Northern Ireland","Antrim and Newtownabbey","Armagh City, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry City and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid and East Antrim","Mid Ulster","Newry, Mourne and Down","Ards and North Down"
"Employment number (aged 16 and over)",2006,765000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employment number (aged 16 and over)",2007,793000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employment number (aged 16 and over)",2008,794000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employment number (aged 16 and over)",2009,767000,64000,86000,125000,57000,56000,47000,60000,65000,61000,71000,73000
"Employment number (aged 16 and over)",2010,777000,61000,95000,141000,60000,55000,48000,61000,59000,61000,69000,68000
"Employment number (aged 16 and over)",2011,797000,63000,91000,132000,65000,58000,48000,68000,64000,64000,75000,70000
"Employment number (aged 16 and over)",2012,795000,70000,83000,133000,60000,56000,53000,68000,66000,60000,77000,70000
"Employment number (aged 16 and over)",2013,801000,67000,88000,152000,54000,56000,47000,66000,64000,64000,79000,63000
"Employment number (aged 16 and over)",2014,808000,61000,92000,147000,60000,59000,49000,65000,59000,68000,79000,67000
"Employment number (aged 16 and over)",2015,823000,62000,96000,148000,56000,61000,56000,64000,64000,67000,77000,72000
"Employment number (aged 16 and over)",2016,835000,67000,98000,152000,50000,54000,51000,75000,67000,66000,83000,73000
"Employment number (aged 16 and over)",2017,833000,70000,98000,144000,53000,54000,52000,71000,65000,68000,78000,79000
"Employment number (aged 16 and over)",2018,848000,73000,104000,145000,57000,60000,55000,68000,63000,71000,76000,76000
"Employment number (aged 16 and over)",2019,871000,74000,101000,153000,57000,66000,51000,76000,64000,73000,84000,74000
"Employment number (aged 16 and over)",2020,845000,67000,97000,149000,58000,58000,51000,72000,61000,74000,87000,70000
"Employment number (aged 16 and over)",2021,849000,68000,97000,147000,61000,62000,53000,76000,62000,70000,82000,72000
"Employment number (aged 16 and over)",2022,879000,73000,106000,150000,56000,61000,53000,76000,71000,70000,86000,77000
"Employment number (aged 16 and over)",2023,901000,74000,113000,155000,57000,62000,53000,76000,72000,72000,90000,77000
"Employment number (aged 16 and over)",2024,918000,72000,121000,155000,60000,58000,58000,82000,70000,73000,92000,77000
"Employment rate (aged 16 to 64)",2006,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employment rate (aged 16 to 64)",2007,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employment rate (aged 16 to 64)",2008,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employment rate (aged 16 to 64)",2009,65.1,71.9,67.2,58.3,61.6,57.4,64.8,69.3,72.2,68.9,64.6,69.8
"Employment rate (aged 16 to 64)",2010,65.8,70.6,70.2,65.3,64.5,55,62.6,72,66.8,63.6,66.5,66.4
"Employment rate (aged 16 to 64)",2011,67,75.4,70.9,61.9,65.6,60.2,63.3,76.5,69.1,65.2,66.5,69.5
"Employment rate (aged 16 to 64)",2012,67,74.3,68.2,60.8,62.1,61.2,67.2,73.8,75,68.8,66,68.8
"Employment rate (aged 16 to 64)",2013,67.1,72.1,68.4,67.4,59.6,55.8,64,71.2,69.4,70.6,69,69.8
"Employment rate (aged 16 to 64)",2014,67.7,71.5,71,64.4,66,56.6,64.3,70.4,68.7,69.4,72.1,73.8
"Employment rate (aged 16 to 64)",2015,68.4,70.8,69.4,66.5,62.4,59.6,73.8,72.2,73.9,68.7,66.2,74.3
"Employment rate (aged 16 to 64)",2016,69.4,74.6,70.8,69.1,56.8,54.8,66.1,75.5,73.8,73,72.6,74.1
"Employment rate (aged 16 to 64)",2017,69.1,76,73.3,65.2,61.1,56.9,67.6,76,70.6,74.8,65.6,76
