"Statistic","Year","Broad age band (7 cat)","Sex","United Kingdom Net","Rest of World Net","Total Net"
"Net Migration",2002,"Age 0-17","Females",36,263,299
"Net Migration",2002,"Age 0-17","Males",-126,273,147
"Net Migration",2002,"Age 0-17","All persons",-90,536,446
"Net Migration",2002,"Age 18-24","Females",-549,-252,-801
"Net Migration",2002,"Age 18-24","Males",-521,-247,-768
"Net Migration",2002,"Age 18-24","All persons",-1070,-499,-1569
"Net Migration",2002,"Age 25-34","Females",609,-18,591
"Net Migration",2002,"Age 25-34","Males",665,121,786
"Net Migration",2002,"Age 25-34","All persons",1274,103,1377
"Net Migration",2002,"Age 35-44","Females",148,-107,41
"Net Migration",2002,"Age 35-44","Males",214,92,306
"Net Migration",2002,"Age 35-44","All persons",362,-15,347
"Net Migration",2002,"Age 45-54","Females",77,-72,5
"Net Migration",2002,"Age 45-54","Males",104,50,154
"Net Migration",2002,"Age 45-54","All persons",181,-22,159
"Net Migration",2002,"Age 55-64","Females",85,1,86
"Net Migration",2002,"Age 55-64","Males",88,30,118
"Net Migration",2002,"Age 55-64","All persons",173,31,204
"Net Migration",2002,"Age 65+","Females",49,-22,27
"Net Migration",2002,"Age 65+","Males",42,-17,25
"Net Migration",2002,"Age 65+","All persons",91,-39,52
"Net Migration",2002,"All","Females",455,-207,248
"Net Migration",2002,"All","Males",466,302,768
"Net Migration",2002,"All","All persons",921,95,1016
"Net Migration",2003,"Age 0-17","Females",37,195,232
"Net Migration",2003,"Age 0-17","Males",9,243,252
"Net Migration",2003,"Age 0-17","All persons",46,438,484
"Net Migration",2003,"Age 18-24","Females",-876,-241,-1117
"Net Migration",2003,"Age 18-24","Males",-900,-221,-1121
"Net Migration",2003,"Age 18-24","All persons",-1776,-462,-2238
"Net Migration",2003,"Age 25-34","Females",473,-35,438
"Net Migration",2003,"Age 25-34","Males",520,166,686
"Net Migration",2003,"Age 25-34","All persons",993,131,1124
"Net Migration",2003,"Age 35-44","Females",153,-84,69
"Net Migration",2003,"Age 35-44","Males",216,40,256
"Net Migration",2003,"Age 35-44","All persons",369,-44,325
"Net Migration",2003,"Age 45-54","Females",90,-16,74
"Net Migration",2003,"Age 45-54","Males",76,49,125
"Net Migration",2003,"Age 45-54","All persons",166,33,199
"Net Migration",2003,"Age 55-64","Females",87,12,99
"Net Migration",2003,"Age 55-64","Males",97,34,131
"Net Migration",2003,"Age 55-64","All persons",184,46,230
"Net Migration",2003,"Age 65+","Females",54,-14,40
"Net Migration",2003,"Age 65+","Males",66,-1,65
"Net Migration",2003,"Age 65+","All persons",120,-15,105
"Net Migration",2003,"All","Females",18,-183,-165
"Net Migration",2003,"All","Males",84,310,394
"Net Migration",2003,"All","All persons",102,127,229
"Net Migration",2004,"Age 0-17","Females",-75,395,320
"Net Migration",2004,"Age 0-17","Males",-147,420,273
"Net Migration",2004,"Age 0-17","All persons",-222,815,593
"Net Migration",2004,"Age 18-24","Females",-500,-42,-542
"Net Migration",2004,"Age 18-24","Males",-506,-44,-550
