"Statistic","Year","Five year age bands","Females","Males","All persons"
"Mid-year population estimate",1971,"Age 0-4",77441,80337,157778
"Mid-year population estimate",1971,"Age 5-9",77927,81771,159698
"Mid-year population estimate",1971,"Age 10-14",68901,70236,139137
"Mid-year population estimate",1971,"Age 15-19",60777,65023,125800
"Mid-year population estimate",1971,"Age 20-24",58611,62310,120921
"Mid-year population estimate",1971,"Age 25-29",51025,50475,101500
"Mid-year population estimate",1971,"Age 30-34",43476,44292,87768
"Mid-year population estimate",1971,"Age 35-39",41463,40474,81937
"Mid-year population estimate",1971,"Age 40-44",42094,40565,82659
"Mid-year population estimate",1971,"Age 45-49",43514,40582,84096
"Mid-year population estimate",1971,"Age 50-54",41914,38922,80836
"Mid-year population estimate",1971,"Age 55-59",40978,36729,77707
"Mid-year population estimate",1971,"Age 60-64",38853,35645,74498
"Mid-year population estimate",1971,"Age 65-69",33547,25732,59279
"Mid-year population estimate",1971,"Age 70-74",27516,19456,46972
"Mid-year population estimate",1971,"Age 75-79",19892,12438,32330
"Mid-year population estimate",1971,"Age 80-84",11701,6779,18480
"Mid-year population estimate",1971,"Age 85-89",4591,2162,6753
"Mid-year population estimate",1971,"Age 90+",1579,685,2264
"Mid-year population estimate",1971,"All",785800,754613,1540413
"Mid-year population estimate",1972,"Age 0-4",75459,79106,154565
"Mid-year population estimate",1972,"Age 5-9",77795,82132,159927
"Mid-year population estimate",1972,"Age 10-14",70240,71564,141804
"Mid-year population estimate",1972,"Age 15-19",60304,63344,123648
"Mid-year population estimate",1972,"Age 20-24",56017,62426,118443
"Mid-year population estimate",1972,"Age 25-29",51483,53065,104548
"Mid-year population estimate",1972,"Age 30-34",43420,44993,88413
"Mid-year population estimate",1972,"Age 35-39",41456,41476,82932
"Mid-year population estimate",1972,"Age 40-44",41469,40158,81627
"Mid-year population estimate",1972,"Age 45-49",42628,40192,82820
"Mid-year population estimate",1972,"Age 50-54",42528,39624,82152
"Mid-year population estimate",1972,"Age 55-59",39788,35698,75486
"Mid-year population estimate",1972,"Age 60-64",39049,36172,75221
"Mid-year population estimate",1972,"Age 65-69",33967,26233,60200
"Mid-year population estimate",1972,"Age 70-74",27502,19431,46933
"Mid-year population estimate",1972,"Age 75-79",20204,12378,32582
"Mid-year population estimate",1972,"Age 80-84",11787,6744,18531
"Mid-year population estimate",1972,"Age 85-89",4804,2117,6921
"Mid-year population estimate",1972,"Age 90+",1568,656,2224
"Mid-year population estimate",1972,"All",781468,757509,1538977
"Mid-year population estimate",1973,"Age 0-4",72773,77124,149897
"Mid-year population estimate",1973,"Age 5-9",77061,81361,158422
"Mid-year population estimate",1973,"Age 10-14",71404,73361,144765
"Mid-year population estimate",1973,"Age 15-19",59998,61722,121720
