"Statistic","Quarter","Composite Economic","Private sector","Public sector","Services","Production","Construction (Private Sector)"
"Quarterly percentage change","2006Q1",1.25,1.8,-0.27,0.01,4.13,6.94
"Quarterly percentage change","2006Q2",0.52,0.71,-0.03,0.64,1.4,0.16
"Quarterly percentage change","2006Q3",1.29,1.55,0.55,1.21,0.18,5.82
"Quarterly percentage change","2006Q4",0.09,0.3,-0.5,0.59,-0.3,0.1
"Quarterly percentage change","2007Q1",0.3,0.46,-0.14,0.93,1.18,-3.73
"Quarterly percentage change","2007Q2",0.79,1,0.18,0.77,0.32,4.16
"Quarterly percentage change","2007Q3",0.13,0.28,-0.28,0.01,3.7,-4.4
"Quarterly percentage change","2007Q4",-0.22,-0.28,-0.05,-0.42,1.98,-4.16
"Quarterly percentage change","2008Q1",-0.54,-0.73,-0.01,0.17,-2.08,-2.7
"Quarterly percentage change","2008Q2",-0.02,0.2,-0.63,-1.01,2.06,2.94
"Quarterly percentage change","2008Q3",-2.21,-2.7,-0.78,-2.43,-1.24,-7.01
"Quarterly percentage change","2008Q4",-1.41,-3.09,3.44,-2.15,-6.09,-2.74
"Quarterly percentage change","2009Q1",-1.83,-2.54,0.13,-2.18,-4.31,-1.53
"Quarterly percentage change","2009Q2",-0.7,-1.06,0.27,-0.32,-2.86,-1.65
"Quarterly percentage change","2009Q3",0.22,0.15,0.41,0.51,-0.48,-0.71
"Quarterly percentage change","2009Q4",0.52,0.86,-0.38,1.21,1.21,-1.98
"Quarterly percentage change","2010Q1",-0.12,0.07,-0.64,0.45,0.89,-4.78
"Quarterly percentage change","2010Q2",-0.64,-0.6,-0.73,-0.23,-0.48,-4.19
"Quarterly percentage change","2010Q3",-3.01,-3.8,-0.81,-6.88,2.52,0.4
"Quarterly percentage change","2010Q4",-0.09,0,-0.31,-0.6,3.26,-6.22
"Quarterly percentage change","2011Q1",0.03,0.23,-0.53,0.79,0.19,-3.89
"Quarterly percentage change","2011Q2",0.39,0.71,-0.52,1.2,2.09,-7.45
"Quarterly percentage change","2011Q3",0.58,0.99,-0.59,0.09,3.03,2.02
"Quarterly percentage change","2011Q4",-0.23,-0.04,-0.78,0.08,-0.41,0.8
"Quarterly percentage change","2012Q1",0.16,0.16,0.18,-0.87,0.42,6.94
"Quarterly percentage change","2012Q2",-2.12,-2.78,-0.2,-1.72,-2.78,-11.71
"Quarterly percentage change","2012Q3",-0.24,-0.35,0.07,0.49,-2.01,-2.66
"Quarterly percentage change","2012Q4",-0.18,-0.3,0.17,-0.41,0.14,-0.33
"Quarterly percentage change","2013Q1",0.29,0.34,0.17,0.84,-1.06,-0.75
