"Statistic","Quarter","NI Major Port","Direction of flow","Other General Cargo","Dry Bulk","Liquid Bulk","Lo-Lo","Ro-Ro Freight","Ro-Ro Non-Freight","All"
"Tonnage","2018Q1","Belfast","Inwards",101.6633488,1112.526386,636.4308647,241.9226862,892.0919463,17.293412,3001.928643
"Tonnage","2018Q1","Belfast","Outwards",48.04777491,761.9100921,0,203.0736867,895.9589832,0.237958397,1909.228495
"Tonnage","2018Q1","Kilroot Power Station Jetty","Inwards",0,192.109,6.519835102,0,0,0,198.6288351
"Tonnage","2018Q1","Kilroot Power Station Jetty","Outwards",0,3.591308837,0,0,0,0,3.591308837
"Tonnage","2018Q1","Larne","Inwards",0,3.110158708,0.941393139,0,382.2333116,0.299,386.5838635
"Tonnage","2018Q1","Larne","Outwards",5.706888647,0,0,0,318.542,0.002,324.2508886
"Tonnage","2018Q1","Londonderry","Inwards",6.817274877,288.8348444,148.6345411,0,0,0,444.2866603
"Tonnage","2018Q1","Londonderry","Outwards",0,33.82369126,0,0,0,0,33.82369126
"Tonnage","2018Q1","Warrenpoint","Inwards",46.93498982,106.5860325,0,12.39348732,298.0859913,4.632746721,468.6332476
"Tonnage","2018Q1","Warrenpoint","Outwards",10.7320118,70.50625852,0,30.47534133,328.0834605,2.894796252,442.6918684
"Tonnage","2018Q2","Belfast","Inwards",82.45449576,1092.756172,525.5127619,241.3785183,950.1075881,14.66430594,2906.873842
"Tonnage","2018Q2","Belfast","Outwards",31.56594465,741.7901953,0,193.5483501,981.6117831,0.289120926,1948.805394
"Tonnage","2018Q2","Kilroot Power Station Jetty","Inwards",0,116.447,16.59967222,0,0,0,133.0466722
"Tonnage","2018Q2","Kilroot Power Station Jetty","Outwards",0,16.17139067,0,0,0,0,16.17139067
"Tonnage","2018Q2","Larne","Inwards",0.859,7.479454366,1.105199492,0,381.4579385,0.314,391.2155924
"Tonnage","2018Q2","Larne","Outwards",4.070633858,0,0,0,338.254,0.001,342.3256339
"Tonnage","2018Q2","Londonderry","Inwards",19.2966086,336.7060553,93.5117504,0,0,0,449.5144143
"Tonnage","2018Q2","Londonderry","Outwards",0,17.04927429,0,0,0,0,17.04927429
"Tonnage","2018Q2","Warrenpoint","Inwards",51.08834455,81.66150348,0,15.1230889,309.3619179,5.63098295,462.8658378
"Tonnage","2018Q2","Warrenpoint","Outwards",18.86672623,69.9527683,0,45.87864109,346.9862451,3.348700305,485.0330811
"Tonnage","2018Q3","Belfast","Inwards",104.6695013,843.965938,485.3247659,241.899827,927.2250356,10.43260587,2613.517674
"Tonnage","2018Q3","Belfast","Outwards",6.10800738,658.3287439,0,178.9353906,908.6626629,0.332748237,1752.367553
"Tonnage","2018Q3","Kilroot Power Station Jetty","Inwards",0,77.288,5.92266702,0,0,0,83.21066702
"Tonnage","2018Q3","Kilroot Power Station Jetty","Outwards",0,3.494300495,0,0,0,0,3.494300495
"Tonnage","2018Q3","Larne","Inwards",0,6.824260997,0.967049555,0,377.686914,0.259,385.7372246
"Tonnage","2018Q3","Larne","Outwards",6.034939729,0,0,0,336.661,0.007,342.7029397
"Tonnage","2018Q3","Londonderry","Inwards",13.14376812,259.8458915,153.0485065,0,0,0,426.0381661
"Tonnage","2018Q3","Londonderry","Outwards",0.627,24.85976579,0,0,0,0,25.48676579
"Tonnage","2018Q3","Warrenpoint","Inwards",47.2629314,90.69021446,0,15.44473651,309.0390004,5.449660157,467.8865429
"Tonnage","2018Q3","Warrenpoint","Outwards",9.127645015,69.36288536,0,21.16182475,207.3401284,1.687087256,308.6795708
"Tonnage","2018Q4","Belfast","Inwards",93.27865416,1092.049505,664.2636076,234.4739685,948.3354299,10.3306762,3042.731841
"Tonnage","2018Q4","Belfast","Outwards",4.424273063,711.2059687,0,192.8305727,854.4285708,0.26317244,1763.152558
"Tonnage","2018Q4","Kilroot Power Station Jetty","Inwards",0,124.071,17.14482566,0,0,0,141.2158257
"Tonnage","2018Q4","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Tonnage","2018Q4","Larne","Inwards",0,3.92412593,0.869357814,0,391.0348358,0.325,396.1533196
