"Statistic","Year","Northern Ireland","Sex - Female","Sex - Male","Age - 18-24","Age -  25-34","Age - 35-44","Age - 45-54","Age - 55-64","Age - 65+","Religion - Catholic","Religion - Protestant","Religion - No religion"
"Percentage who self-report being prejudiced against people from minority ethnic communities",2014,24,23,26,26,16,28,30,21,25,18,35,16
"Percentage who self-report being prejudiced against people from minority ethnic communities",2015,27,25,30,27,27,26,34,25,26,23,33,27
"Percentage who self-report being prejudiced against people from minority ethnic communities",2016,25,24,26,19,21,19,23,31,31,21,29,24
"Percentage who self-report being prejudiced against people from minority ethnic communities",2017,19,19,19,21,20,16,19,22,19,13,25,19
"Percentage who self-report being prejudiced against people from minority ethnic communities",2018,20,17,23,31,21,15,13,19,23,13,25,24
"Percentage who self-report being prejudiced against people from minority ethnic communities",2019,29,29,30,36,29,22,26,34,29,23,33,32
"Percentage who self-report being prejudiced against people from minority ethnic communities",2020,32,32,31,23,29,31,31,37,36,30,38,26
"Percentage who self-report being prejudiced against people from minority ethnic communities",2021,30,30,31,30,26,33,28,31,34,27,40,22
"Percentage who self-report being prejudiced against people from minority ethnic communities",2022,27,24,29,23,24,27,24,26,34,27,30,24
"Percentage who self-report being prejudiced against people from minority ethnic communities",2023,28,29,28,23,26,31,31,28,29,26,34,25
"Percentage who self-report being prejudiced against people from minority ethnic communities",2024,29,30,27,34,30,27,28,20,32,27,35,21
