"Statistic","Financial year","Northern Ireland"
"Individual relative poverty","2021/22",13
"Individual relative poverty","2022/23",15
"Individual relative poverty","2023/24",14
"Individual relative poverty","2024/25",12
"Individual absolute poverty","2021/22",13
"Individual absolute poverty","2022/23",16
"Individual absolute poverty","2023/24",15
"Individual absolute poverty","2024/25",12
"Children relative poverty","2021/22",16
"Children relative poverty","2022/23",18
"Children relative poverty","2023/24",18
"Children relative poverty","2024/25",14
"Children absolute poverty","2021/22",16
"Children absolute poverty","2022/23",19
"Children absolute poverty","2023/24",21
"Children absolute poverty","2024/25",14
