"Statistic","Year","Northern Ireland"
"Total factor productivity of the agriculture sector",1981,63
"Total factor productivity of the agriculture sector",1982,62.9
"Total factor productivity of the agriculture sector",1983,65.6
"Total factor productivity of the agriculture sector",1984,70.6
"Total factor productivity of the agriculture sector",1985,67.6
"Total factor productivity of the agriculture sector",1986,65.3
"Total factor productivity of the agriculture sector",1987,68.8
"Total factor productivity of the agriculture sector",1988,69
"Total factor productivity of the agriculture sector",1989,70.9
"Total factor productivity of the agriculture sector",1990,72
"Total factor productivity of the agriculture sector",1991,75.1
"Total factor productivity of the agriculture sector",1992,74.7
"Total factor productivity of the agriculture sector",1993,73.2
"Total factor productivity of the agriculture sector",1994,73.9
"Total factor productivity of the agriculture sector",1995,72.3
"Total factor productivity of the agriculture sector",1996,69.7
"Total factor productivity of the agriculture sector",1997,74.7
"Total factor productivity of the agriculture sector",1998,76.8
"Total factor productivity of the agriculture sector",1999,77.4
"Total factor productivity of the agriculture sector",2000,82.3
"Total factor productivity of the agriculture sector",2001,85.7
"Total factor productivity of the agriculture sector",2002,84.8
"Total factor productivity of the agriculture sector",2003,86
"Total factor productivity of the agriculture sector",2004,89.5
"Total factor productivity of the agriculture sector",2005,90.6
"Total factor productivity of the agriculture sector",2006,93.8
"Total factor productivity of the agriculture sector",2007,98.9
"Total factor productivity of the agriculture sector",2008,95.5
"Total factor productivity of the agriculture sector",2009,91.1
"Total factor productivity of the agriculture sector",2010,91.7
"Total factor productivity of the agriculture sector",2011,93.6
"Total factor productivity of the agriculture sector",2012,91.7
"Total factor productivity of the agriculture sector",2013,91
"Total factor productivity of the agriculture sector",2014,96.6
"Total factor productivity of the agriculture sector",2015,100
"Total factor productivity of the agriculture sector",2016,103.3
"Total factor productivity of the agriculture sector",2017,101.9
"Total factor productivity of the agriculture sector",2018,102.7
"Total factor productivity of the agriculture sector",2019,102.8
"Total factor productivity of the agriculture sector",2020,104.3
"Total factor productivity of the agriculture sector",2021,105.2
"Total factor productivity of the agriculture sector",2022,108.1
"Total factor productivity of the agriculture sector",2023,103.2
