"Statistic","Year","Northern Ireland"
"Total Income from Farming",1981,65
"Total Income from Farming",1982,96.2
"Total Income from Farming",1983,107
"Total Income from Farming",1984,152.3
"Total Income from Farming",1985,88.6
"Total Income from Farming",1986,61
"Total Income from Farming",1987,113.6
"Total Income from Farming",1988,150.2
"Total Income from Farming",1989,182.2
"Total Income from Farming",1990,107.6
"Total Income from Farming",1991,142.2
"Total Income from Farming",1992,175.7
"Total Income from Farming",1993,244.1
"Total Income from Farming",1994,239
"Total Income from Farming",1995,281.4
"Total Income from Farming",1996,236.3
"Total Income from Farming",1997,168.3
"Total Income from Farming",1998,75
"Total Income from Farming",1999,83.9
"Total Income from Farming",2000,107.1
"Total Income from Farming",2001,178.2
"Total Income from Farming",2002,108.6
"Total Income from Farming",2003,123.1
"Total Income from Farming",2004,152.6
"Total Income from Farming",2005,146.3
"Total Income from Farming",2006,135
"Total Income from Farming",2007,204.1
"Total Income from Farming",2008,194.1
"Total Income from Farming",2009,197.2
"Total Income from Farming",2010,258.8
"Total Income from Farming",2011,336.5
"Total Income from Farming",2012,258.2
"Total Income from Farming",2013,362.7
"Total Income from Farming",2014,321.9
"Total Income from Farming",2015,221.3
"Total Income from Farming",2016,298.8
"Total Income from Farming",2017,531
"Total Income from Farming",2018,417.2
"Total Income from Farming",2019,350.6
"Total Income from Farming",2020,457.6
"Total Income from Farming",2021,521.2
"Total Income from Farming",2022,628.8
"Total Income from Farming",2023,471.3
"Total Income from Farming",2024,765.7
