"Statistic","Month","Car","LGV","HGV-RIG","HGV-ART","Bus","Caravan","Motorbike","All"
"Number of vehicles crossing border","2013M03",2599550,177848,86215,177925,16803,26881,7115,3092336
"Number of vehicles crossing border","2013M04",2624432,222590,86037,178754,18598,29997,10366,3170773
"Number of vehicles crossing border","2013M05",2741682,263940,94238,185944,22261,33647,17244,3358955
"Number of vehicles crossing border","2013M06",2673334,258512,85807,167523,24236,32027,14284,3255723
"Number of vehicles crossing border","2013M07",2904013,274987,89719,176360,23697,36423,18180,3523379
"Number of vehicles crossing border","2013M08",2941961,277417,88257,173500,23930,35110,14643,3554818
"Number of vehicles crossing border","2013M09",2587766,265086,87994,181361,21995,30641,12500,3187343
"Number of vehicles crossing border","2013M10",2699147,279295,91161,194422,22131,30129,7859,3324144
"Number of vehicles crossing border","2013M11",2551926,267029,86202,185796,18995,27138,5671,3142757
"Number of vehicles crossing border","2013M12",2524516,237988,69902,163907,16359,20816,4789,3038277
"Number of vehicles crossing border","2014M01",2479555,258789,77638,195135,18149,22457,5019,3056742
"Number of vehicles crossing border","2014M02",2334087,234620,71097,169735,18704,22419,4869,2855531
"Number of vehicles crossing border","2014M03",2681683,263304,79247,185506,20404,28384,7720,3266248
"Number of vehicles crossing border","2014M04",2744552,267634,79823,182334,20246,34792,12144,3341525
"Number of vehicles crossing border","2014M05",2835715,286005,85498,188286,23800,35402,16742,3471448
"Number of vehicles crossing border","2014M06",2780391,278127,83087,176937,23196,34285,16562,3392585
"Number of vehicles crossing border","2014M07",2982789,289272,84505,188437,22707,39296,14549,3621555
"Number of vehicles crossing border","2014M08",3092652,291049,81878,181009,23220,37417,15117,3722342
"Number of vehicles crossing border","2014M09",2727697,292118,88047,194890,22244,34166,14174,3373336
"Number of vehicles crossing border","2014M10",2788998,299307,86888,199602,20344,32736,8157,3436032
"Number of vehicles crossing border","2014M11",2608812,279532,78547,191879,18506,28582,5877,3211735
"Number of vehicles crossing border","2014M12",2606526,259773,69264,183559,15489,23178,4426,3162215
"Number of vehicles crossing border","2015M01",2372028,252999,69410,187464,15323,21818,4151,2923193
"Number of vehicles crossing border","2015M02",2416442,257631,74645,187500,15935,25162,5142,2982457
"Number of vehicles crossing border","2015M03",2729237,287289,82618,204375,19374,30226,7980,3361099
"Number of vehicles crossing border","2015M04",2788211,285529,82878,199631,19864,35334,11522,3422969
"Number of vehicles crossing border","2015M05",2897344,302103,82891,200262,21982,35473,15613,3555668
"Number of vehicles crossing border","2015M06",2834166,302654,87668,203436,24565,36608,15518,3504615
"Number of vehicles crossing border","2015M07",3133469,315854,87341,201700,24849,39954,14267,3817434
"Number of vehicles crossing border","2015M08",3180489,308914,84538,189876,24223,38939,15590,3842569
"Number of vehicles crossing border","2015M09",2687799,300011,87515,199778,22000,33775,12502,3343380
"Number of vehicles crossing border","2015M10",2809734,311932,85450,203861,20639,33169,9643,3474428
"Number of vehicles crossing border","2015M11",2580396,299319,79750,203253,18342,27866,5174,3214100
"Number of vehicles crossing border","2015M12",2684906,286187,72140,190640,15982,22643,4510,3277008
"Number of vehicles crossing border","2016M01",2540011,284056,73363,193604,16223,22954,4534,3134745
