"Statistic","Financial Year","Antrim and Newtownabbey","Armagh City, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry City and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid and East Antrim","Mid Ulster","Newry, Mourne and Down","Ards and North Down","Northern Ireland"
"Local authority collected municipal waste recycling rate","2004/05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2
"Local authority collected municipal waste recycling rate","2005/06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"Local authority collected municipal waste recycling rate","2006/07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5
"Local authority collected municipal waste recycling rate","2007/08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9
"Local authority collected municipal waste recycling rate","2008/09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6
"Local authority collected municipal waste recycling rate","2009/10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1
"Local authority collected municipal waste recycling rate","2010/11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5
"Local authority collected municipal waste recycling rate","2011/12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4
"Local authority collected municipal waste recycling rate","2012/13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8
"Local authority collected municipal waste recycling rate","2013/14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7
"Local authority collected municipal waste recycling rate","2014/15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4
"Local authority collected municipal waste recycling rate","2015/16",48.4,48.7,35.7,39.1,34.9,46.9,42.9,44.5,47.7,36.3,41.4,41.8
"Local authority collected municipal waste recycling rate","2016/17",51.1,49,35.5,42.5,42.6,46.1,42.6,45.5,49.7,38.6,48.3,44
"Local authority collected municipal waste recycling rate","2017/18",54.6,51.2,40.2,42.7,46,46.8,48.2,51.7,53.7,44.6,50.2,47.6
"Local authority collected municipal waste recycling rate","2018/19",58.8,52.7,40.2,47.2,47.3,49.2,50.8,52.4,56.2,49.4,51.4,49.8
"Local authority collected municipal waste recycling rate","2019/20",61.2,54.6,41.5,49.8,46.9,47.2,53.3,52,56.7,49.6,54.5,51.1
"Local authority collected municipal waste recycling rate","2020/21",57.1,53.8,39.8,50.3,47.8,45.1,52.1,51.5,57.5,49.5,51.7,50
"Local authority collected municipal waste recycling rate","2021/22",62.8,53.2,37.9,48.2,46.6,45.9,52,50.9,56.7,48,49.7,49.7
"Local authority collected municipal waste recycling rate","2022/23",62.1,53.6,37,48.6,47.5,45,51.4,50.2,56.8,48.1,52.6,49.7
"Local authority collected municipal waste recycling rate","2023/24",62.2,54.9,38.8,48.5,49.8,44.4,51.3,49.1,56.7,48.9,55.4,50.5
"Local authority collected municipal waste recycling rate","2024/25",59.5,54.1,39.4,48.4,50.1,45.9,50.8,49.2,57.2,48.6,56.5,50.4
"Local authority collected municipal waste landfill rate","2004/05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Local authority collected municipal waste landfill rate","2005/06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Local authority collected municipal waste landfill rate","2006/07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
"Local authority collected municipal waste landfill rate","2007/08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6
"Local authority collected municipal waste landfill rate","2008/09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3
"Local authority collected municipal waste landfill rate","2009/10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.1
"Local authority collected municipal waste landfill rate","2010/11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8
"Local authority collected municipal waste landfill rate","2011/12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1
"Local authority collected municipal waste landfill rate","2012/13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6
"Local authority collected municipal waste landfill rate","2013/14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6
"Local authority collected municipal waste landfill rate","2014/15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4
"Local authority collected municipal waste landfill rate","2015/16",41.4,18.6,42.9,39.5,27.7,52,49.8,47.3,39.7,35.2,52.9,40.3
"Local authority collected municipal waste landfill rate","2016/17",36.4,20.5,44.1,39.4,26,50.4,53.2,47,38,10.9,46,37.3
"Local authority collected municipal waste landfill rate","2017/18",33.2,17.6,38.5,38.8,22.6,47.6,45.6,40.3,28.7,5.8,44.1,32.6
"Local authority collected municipal waste landfill rate","2018/19",26.8,15.8,35.9,32,20.5,41.5,42.6,39.3,16.4,4.3,43.4,28.9
"Local authority collected municipal waste landfill rate","2019/20",23.4,11.1,29.7,24.9,14.4,42,38.2,36.9,4,5,39.8,24
"Local authority collected municipal waste landfill rate","2020/21",27.8,6.9,28.4,14.7,8.9,40.7,40.1,36.1,3.6,5.7,42.3,22.8
"Local authority collected municipal waste landfill rate","2021/22",23.1,11.1,34,25.2,16,38.2,38.2,36.5,3.8,6,43.9,24.9
"Local authority collected municipal waste landfill rate","2022/23",23.4,7,29.2,23.1,10.3,39.4,38.4,38,3.4,5.4,41.7,23.1
"Local authority collected municipal waste landfill rate","2023/24",22.1,4.6,7.3,23.8,7.5,41.4,37.8,40.1,1.1,2.3,38.7,18.4
"Local authority collected municipal waste landfill rate","2024/25",20.6,5.2,0.9,17.7,7.2,24.5,32.6,36.2,0,0.9,28.6,14
"Local authority collected municipal waste energy recovery rate","2004/05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Local authority collected municipal waste energy recovery rate","2005/06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Local authority collected municipal waste energy recovery rate","2006/07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Local authority collected municipal waste energy recovery rate","2007/08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Local authority collected municipal waste energy recovery rate","2008/09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Local authority collected municipal waste energy recovery rate","2009/10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"Local authority collected municipal waste energy recovery rate","2010/11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"Local authority collected municipal waste energy recovery rate","2011/12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"Local authority collected municipal waste energy recovery rate","2012/13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9
"Local authority collected municipal waste energy recovery rate","2013/14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1
"Local authority collected municipal waste energy recovery rate","2014/15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9
"Local authority collected municipal waste energy recovery rate","2015/16",9.5,32.4,21,21.1,37.2,1.2,6.8,8.1,12.4,28.3,5.6,17.6
"Local authority collected municipal waste energy recovery rate","2016/17",12.1,30.4,20.1,18,31.1,3.1,3.7,7.5,12,50.4,5.7,18.5
"Local authority collected municipal waste energy recovery rate","2017/18",11.8,29.2,18.7,17.2,27.6,5.5,5.9,7.9,16,49.5,5.7,18.4
"Local authority collected municipal waste energy recovery rate","2018/19",13.6,28.2,20,18.2,27.8,8.8,6.2,7.4,26.5,46.2,5.1,19.4
"Local authority collected municipal waste energy recovery rate","2019/20",14.1,29.2,23.3,21,32.3,10.3,7.9,10.5,38.6,44.5,5.4,22.1
"Local authority collected municipal waste energy recovery rate","2020/21",14.4,34,26.6,29.8,36.9,12.8,7.3,12.2,38.5,44.1,5.7,24.6
"Local authority collected municipal waste energy recovery rate","2021/22",13.2,31.7,23.9,23.4,32.3,13.7,9.3,12.2,39.2,45.3,6,23.2
"Local authority collected municipal waste energy recovery rate","2022/23",13.5,36.3,30.4,25.8,37.9,14.5,9.7,11.7,39.5,45.7,5.3,25.4
"Local authority collected municipal waste energy recovery rate","2023/24",14.8,37.4,52.5,25.4,38.7,13,10.2,10.6,42,48.2,5.6,29.7
"Local authority collected municipal waste energy recovery rate","2024/25",19.1,37.7,59.5,31.1,39.1,26.7,16.1,14.4,42.7,50,14.7,34.3
"Household waste recycling rate","2004/05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9
"Household waste recycling rate","2005/06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5
"Household waste recycling rate","2006/07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7
"Household waste recycling rate","2007/08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9
"Household waste recycling rate","2008/09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4
"Household waste recycling rate","2009/10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6
"Household waste recycling rate","2010/11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3
"Household waste recycling rate","2011/12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7
"Household waste recycling rate","2012/13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8
"Household waste recycling rate","2013/14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4
"Household waste recycling rate","2014/15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"Household waste recycling rate","2015/16",46.8,48,40,38.8,33.3,45.5,41.9,42.9,49.6,38.9,40.2,42.2
"Household waste recycling rate","2016/17",47.5,48.2,39.4,42.3,40.5,45.3,41.1,45.3,51.6,40.1,49.2,44.3
"Household waste recycling rate","2017/18",52.2,50.5,44.4,42.2,43.3,46.3,46.3,52.8,54.3,46.1,52.1,48.1
"Household waste recycling rate","2018/19",56.1,51.6,44.4,47.7,44.3,49.3,48.1,52,56,51.4,53.1,50
"Household waste recycling rate","2019/20",57.3,54.8,45.4,53.8,44.2,49.1,50.8,51.4,58.8,53.7,54.7,51.9
"Household waste recycling rate","2020/21",56.9,54.3,43,53.9,46.1,47.3,50.4,50.8,58.9,51.9,51,50.9
"Household waste recycling rate","2021/22",60.2,53.5,41,52.3,45.1,47.7,49.7,51.9,58.2,49.8,48.3,50.1
"Household waste recycling rate","2022/23",60.1,54.2,40.8,52.7,46,47.5,50.5,51.7,58.4,49.6,51.9,50.7
"Household waste recycling rate","2023/24",59.4,55.6,41.6,49.6,48.2,46.7,50.9,50.7,58.6,50.1,55.1,51.1
"Household waste recycling rate","2024/25",56.9,54.6,42.4,50.4,48.4,47.7,50.4,50.8,59.3,48.7,56.1,51
"Household waste landfill rate","2004/05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Household waste landfill rate","2005/06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Household waste landfill rate","2006/07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.3
"Household waste landfill rate","2007/08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1
"Household waste landfill rate","2008/09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.8
"Household waste landfill rate","2009/10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9
"Household waste landfill rate","2010/11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"Household waste landfill rate","2011/12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7
"Household waste landfill rate","2012/13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8
"Household waste landfill rate","2013/14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"Household waste landfill rate","2014/15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7
"Household waste landfill rate","2015/16",42.3,18.8,40,39.3,28.4,53.3,50.5,48.7,38,33.3,53.4,39.7
"Household waste landfill rate","2016/17",38.5,20.8,41.3,39.7,27,51.1,54.4,47,36.1,10.6,44.5,36.7
"Household waste landfill rate","2017/18",35.4,17.8,35.6,38.5,23.9,47.9,46.9,39.5,28.1,5.6,41.7,32
"Household waste landfill rate","2018/19",29,16.1,33.2,31.2,21.6,41.2,44.7,39.3,16.3,4.1,41.4,28.4
"Household waste landfill rate","2019/20",25.2,11,27.5,22.3,15,39.6,40.1,37.1,3.7,4.5,39.4,23.7
"Household waste landfill rate","2020/21",27.3,6.7,26.7,13.3,9.1,38.3,41.4,36.4,3.4,5.4,42.9,22.4
"Household waste landfill rate","2021/22",24,10.9,32.4,22.6,16.5,36.1,39.9,35.4,3.6,5.7,45.1,24.7
"Household waste landfill rate","2022/23",24,6.8,27.3,20.6,10.6,36.6,38.7,36.4,3.2,5.2,42.2,22.4
"Household waste landfill rate","2023/24",22.9,4.5,7.1,22.9,7.7,38.7,37.8,38.4,1,2.2,38.9,18
"Household waste landfill rate","2024/25",21.3,5,0.9,16.5,7.3,22.9,32.6,34.4,0,0.9,29,13.8
